id,name__et,name__it,name,wikipedia__et,image,gender,birth_date,given_name,original_wikiname,wikipedia__commons,name__de,name__pl,name__ru,name__fr,name__en,name__lt,name__da,name__sk,name__sl,name__fi,name__ca,name__cs,name__hr,name__la,name__pt,name__ro,name__sv,name__nl,name__es,name__nb,name__nn,name__hu,wikipedia__da,wikipedia__de,wikipedia__en,wikipedia__fr,wikipedia__it,wikipedia__lt,wikipedia__nl,wikipedia__pl,wikipedia__ru,wikipedia__sv,occupation,identifier__freebase,identifier__EuroparlMEP,name__uk,wikipedia__fi,wikipedia__la,wikipedia__uk,name__af,name__an,name__ast,name__bar,name__br,name__bs,name__co,name__cy,name__eo,name__eu,name__fur,name__ga,name__gd,name__gl,name__gsw,name__is,name__lb,name__li,name__lij,name__lmo,name__nap,name__nds,name__nds_nl,name__pcd,name__pms,name__rm,name__sc,name__scn,name__sco,name__sq,name__tr,name__vec,name__vls,name__wa,identifier__VIAF,identifier__LCAuth,name__lv,wikipedia__lv,website,identifier__IMDB,identifier__MusicBrainz,identifier__AlloCine,identifier__discogs,identifier__allmovie,identifier__SFDb,identifier__PORT,identifier__kinopoisk,identifier__CSFD,identifier__ISNI,identifier__BNF,identifier__SUDOC,identifier__NTA,identifier__PACE,identifier__etis_ee,name__ja,wikipedia__ja,wikipedia__tr,name__bm,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__frc,name__frp,name__ia,name__id,name__ie,name__io,name__jam,name__kab,name__kg,name__mg,name__min,name__ms,name__nrm,name__oc,name__pap,name__prg,name__pt_br,name__rgn,name__sr_el,name__sw,name__vi,name__vmf,name__vo,name__wo,name__zu,wikipedia__ca,wikipedia__es,wikipedia__plwikiquote,wikipedia__ro,identifier__GND,identifier__elonet,identifier__DNF,name__hy,wikipedia__hy,identifier__google_knowledge,name__zh,name__he,name__bg,name__be,name__el,name__fa,name__zh_cn,name__zh_hans,name__ka,name__ko,wikipedia__be,wikipedia__bg,wikipedia__cs,wikipedia__el,wikipedia__enwikiquote,wikipedia__fa,wikipedia__he,wikipedia__hu,wikipedia__io,wikipedia__is,wikipedia__ka,wikipedia__liwikiquote,wikipedia__no,wikipedia__oc,wikipedia__zh,identifier__Munzinger,identifier__FAST,death_date,wikipedia__pt,wikipedia__etwikiquote,wikipedia__nn,family_name,twitter,wikipedia__id,name__az,wikipedia__az,name__ar,name__ta,name__mk,name__hsb,name__tpi,wikipedia__ar,wikipedia__ast,wikipedia__hsb,wikipedia__ie,wikipedia__ko,wikipedia__lb,wikipedia__ruwikinews,wikipedia__ta,wikipedia__tpi,wikipedia__vi,identifier__parlement,name__yo,name__sr,name__se,wikipedia__eo,wikipedia__eu,wikipedia__fiwikiquote,wikipedia__ga,wikipedia__gl,wikipedia__sco,wikipedia__se,wikipedia__simple,wikipedia__sl,wikipedia__sr,wikipedia__yo,identifier__NNDB,identifier__GTAA,name__mn,name__vro,wikipedia__fiu_vro,wikipedia__mn,identifier__IIAF,name__fo,name__zh_hant,name__zh_hk,name__zh_sg,name__zh_tw,name__be_tarask,wikipedia__be_x_old,wikipedia__ukwikiquote
Q12366238,"Kalle Muuli",,"Kalle Muuli","Kalle Muuli","https://upload.wikimedia.org/wikipedia/commons/6/61/Muuli,_Kalle._by_Ave_Maria_Mõistlik.IMG_7255.JPG",male,1958-01-10,Kalle,"Kalle Muuli","Category:Kalle Muuli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105088450,,,,,,e463fafd-cc07-486a-966b-23b6b72ce9ff,,,,,,,,,,176146911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12366252,"Kalmer Lain",,"Kalmer Lain","Kalmer Lain",,male,1968,,"Kalmer Lain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12366267,"Kalvi Kõva",,"Kalvi Kõva","Kalvi Kõva","https://upload.wikimedia.org/wikipedia/commons/9/9d/SDE_Kalvi_Kõva.jpg",male,,,"Kalvi Kõva","Category:Kalvi Kõva",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12366820,"Kersti Sarapuu",,"Kersti Sarapuu","Kersti Sarapuu",https://upload.wikimedia.org/wikipedia/commons/d/df/RK_Kersti_Sarapuu.jpg,female,,,"Kersti Sarapuu","Category:Kersti Sarapuu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12368506,"Lembit Kaljuvee",,"Lembit Kaljuvee","Lembit Kaljuvee",https://upload.wikimedia.org/wikipedia/commons/3/39/KE_Lembit_Kaljuvee.jpg,male,,Lembit,"Lembit Kaljuvee","Category:Lembit Kaljuvee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12368739,"Liisa Pakosta",,"Liisa Pakosta","Liisa Pakosta",https://upload.wikimedia.org/wikipedia/commons/1/15/IRL_Liisa-Ly_Pakosta.jpg,female,,Liisa,"Liisa Pakosta","Category:Liisa-Ly Pakosta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12369791,"Marika Tuus-Laul",,"Marika Tuus-Laul","Marika Tuus-Laul",https://upload.wikimedia.org/wikipedia/commons/f/fd/KE_Marika_Tuus.jpg,female,,,"Marika Tuus-Laul","Category:Marika Tuus-Laul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12369838,"Mark Soosaar",,"Mark Soosaar","Mark Soosaar",https://upload.wikimedia.org/wikipedia/commons/9/92/Mark_Soosaar.JPG,male,1946-01-12,Mark,"Mark Soosaar","Category:Mark Soosaar",,,"Соосаар, Марк-Тоомас",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Соосаар, Марк-Тоомас",,"film director",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nm0814600,,13762,,p240139,256659,,318022,116226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138805,146300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12369879,"Mart Meri","Mart Meri","Mart Meri","Mart Meri","https://upload.wikimedia.org/wikipedia/commons/a/a6/Meri,_Mart.IMG_9931.JPG",male,,Mart,"Mart Meri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12369884,"Mart Nutt",,"Mart Nutt","Mart Nutt","https://upload.wikimedia.org/wikipedia/commons/1/14/Nutt&Hääl.IMG_0229.JPG",male,1962-03-21,Mart,"Mart Nutt","Category:Mart Nutt","Mart Nutt",,,"Mart Nutt","Mart Nutt",,,,,,,,,,,,,,,,,,,,"Mart Nutt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83580580,,,,,,,,,,,,,,,,080404340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12369924,"Martin Helme","Martin Helme","Martin Helme","Martin Helme","https://upload.wikimedia.org/wikipedia/commons/0/05/Helme,_Martin.IMG_6116.JPG",male,,Martin,"Martin Helme","Category:Martin Helme","Martin Helme","Martin Helme",,"Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme",,"Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme",,,,,,,,,,,,,,,,,,"Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme","Martin Helme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12369932,"Martin Kukk",,"Martin Kukk","Martin Kukk",https://upload.wikimedia.org/wikipedia/commons/d/da/RK_Martin_Kukk.jpg,male,,Martin,"Martin Kukk","Category:Martin Kukk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12369996,"Mati Raidma",,"Mati Raidma","Mati Raidma",https://upload.wikimedia.org/wikipedia/commons/e/e2/RE_Mati_Raidma.jpg,male,1965-04-07,,"Mati Raidma","Category:Mati Raidma","Mati Raidma","Mati Raidma",,"Mati Raidma","Mati Raidma",,,,,,,,,,,,,"Mati Raidma",,,,,,"Mati Raidma",,,,,,"Mati Raidma",,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12370075,"Meelis Mälberg",,"Meelis Mälberg","Meelis Mälberg","https://upload.wikimedia.org/wikipedia/commons/5/51/RE_Meelis_Mälberg.jpg",male,,Meelis,"Meelis Mälberg","Category:Meelis Mälberg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12370316,"Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","https://upload.wikimedia.org/wikipedia/commons/2/21/Mihkel_Raud,_2007.jpg",male,1969-01-18,Mihkel,"Mihkel Raud","Category:Mihkel Raud","Mihkel Raud","Mihkel Raud","Михкель Рауд","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud",,"Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud",,,"Mihkel Raud",,,,,,,,journalist,/m/0nhr1k3,,,"Mihkel Raud",,,"Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud","Mihkel Raud",,,,,http://mihkelraud.ee/,nm0712034,77527304-bd31-4f7a-aef1-6108297df112,,528634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mihkelraud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12370928,"Neeme Suur","Neeme Suur","Neeme Suur","Neeme Suur","https://upload.wikimedia.org/wikipedia/commons/a/ab/Neeme_Suur,_2011.jpg",male,,,"Neeme Suur","Category:Neeme Suur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12371428,"Olga Sõtnik",,"Olga Sõtnik","Olga Sõtnik","https://upload.wikimedia.org/wikipedia/commons/d/d5/KE_Olga_Sõtnik.jpg",female,,Olga,"Olga Sõtnik","Category:Olga Sõtnik",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12371725,"Oudekki Loone",,"Oudekki Loone","Oudekki Loone","https://upload.wikimedia.org/wikipedia/commons/5/5d/Loone,_Oudekki.IMG_5044.JPG",female,,,"Oudekki Loone",,,,,,"Oudekki Loone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2b93bca1-99b6-44e6-abb0-ce5667605b61,,,,,,,,"Oudekki Loone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oudekki Loone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12372175,"Peeter Ernits","Peeter Ernits","Peeter Ernits","Peeter Ernits",https://upload.wikimedia.org/wikipedia/commons/1/17/RK_Peeter_Ernits.jpg,male,,Peeter,"Peeter Ernits","Category:Peeter Ernits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12372206,"Peeter Laurson",,"Peeter Laurson","Peeter Laurson",https://upload.wikimedia.org/wikipedia/commons/2/25/IRL_Peeter_Laurson.jpg,male,,Peeter,"Peeter Laurson","Category:Peeter Laurson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12372254,"Peeter Võsa",,"Peeter Võsa","Peeter Võsa","https://upload.wikimedia.org/wikipedia/commons/f/f8/KE_Peeter_Võsa.jpg",male,,Peeter,"Peeter Võsa","Category:Peeter Võsa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12372781,"Priit Toobal","Priit Toobal","Priit Toobal","Priit Toobal",https://upload.wikimedia.org/wikipedia/commons/4/47/KE_Priit_Toobal.jpg,male,,Priit,"Priit Toobal","Category:Priit Toobal",,,,,"Priit Toobal",,,,,,,,,,,,,,,,,,,,"Priit Toobal",,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12372782,"Priit Sibul","Priit Sibul","Priit Sibul","Priit Sibul",https://upload.wikimedia.org/wikipedia/commons/4/47/Priit_Sibul_2008.JPG,male,,Priit,"Priit Sibul","Category:Priit Sibul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12373456,"Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra",https://upload.wikimedia.org/wikipedia/commons/d/d7/KE_Rainer_Vakra.jpg,male,,Rainer,"Rainer Vakra","Category:Rainer Vakra","Rainer Vakra","Rainer Vakra",,"Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra",,"Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra",,,,,,,,,,,,,,,,,,"Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra","Rainer Vakra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12373459,"Raivo Aeg","Raivo Aeg","Raivo Aeg","Raivo Aeg",https://upload.wikimedia.org/wikipedia/commons/5/58/RK_Raivo_Aeg.jpg,male,,,"Raivo Aeg","Category:Raivo Aeg",,,,,"Raivo Aeg",,,,,,,,,,,,,"Raivo Aeg",,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12373563,"Rannar Vassiljev",,"Rannar Vassiljev","Rannar Vassiljev",https://upload.wikimedia.org/wikipedia/commons/c/c6/SDE_Rannar_Vassiljev.jpg,male,1981-11-08,,"Rannar Vassiljev","Category:Rannar Vassiljev","Rannar Vassiljev","Rannar Vassiljev",,"Rannar Vassiljev","Rannar Vassiljev",,,,,,,,,,,,,"Rannar Vassiljev","Rannar Vassiljev",,,"Rannar Vassiljev",,"Rannar Vassiljev",,"Rannar Vassiljev",,,,"Rannar Vassiljev",,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12373774,"Rein Ratas","Rein Ratas","Rein Ratas","Rein Ratas",https://upload.wikimedia.org/wikipedia/commons/4/43/RK_Rein_Ratas.jpg,male,,Rein,"Rein Ratas","Category:Rein Ratas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12373839,"Remo Holsmer",,"Remo Holsmer","Remo Holsmer",https://upload.wikimedia.org/wikipedia/commons/7/75/RE_Remo_Holsmer.jpg,male,,Remo,"Remo Holsmer","Category:Remo Holsmer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12374975,"Siim Kabrits",,"Siim Kabrits","Siim Kabrits",https://upload.wikimedia.org/wikipedia/commons/d/d1/IRL_Siim_Kabrits.jpg,male,1979-07-04,Siim,"Siim Kabrits","Category:Siim Kabrits","Siim Kabrits",,,"Siim Kabrits","Siim Kabrits",,,,,,,,,,,,,"Siim Kabrits","Siim Kabrits",,,"Siim Kabrits",,,"Siim Kabrits",,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12375092,"Siret Kotka",,"Siret Kotka","Siret Kotka",https://upload.wikimedia.org/wikipedia/commons/5/5b/RK_Siret_Kotka.jpg,female,1986-07-27,,"Siret Kotka","Category:Siret Kotka",,,,"Siret Kotka","Siret Kotka",,,,,,,,,,,,,,,,,,,,"Siret Kotka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12376325,"Tanel Talve","Tanel Talve","Tanel Talve","Tanel Talve",https://upload.wikimedia.org/wikipedia/commons/f/ff/RK_Tanel_Talve.jpg,male,,,"Tanel Talve","Category:Tanel Talve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12376370,"Tarmo Mänd",,"Tarmo Mänd","Tarmo Mänd",,male,,,"Tarmo Mänd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
