id,name__bn,name__en,name__de,name__fr,name,wikipedia__bn,wikipedia__en,gender,occupation,birth_date,death_date,original_wikiname,name__id,name__uk,name__nl,name__es,name__pt,name__cy,name__hu,name__hi,wikipedia__de,wikipedia__fr,wikipedia__hi,wikipedia__id,wikipedia__pt,wikipedia__uk,image,identifier__freebase,identifier__VIAF,identifier__LCAuth,identifier__FAST,given_name,name__tr,name__ur,name__zh,wikipedia__tr,wikipedia__ur,name__ru,name__ja,wikipedia__ru,wikipedia__es,name__en_ca,name__en_gb,name__af,name__ar,name__bpy,name__da,name__de_ch,name__el,name__eo,name__et,name__fa,name__fi,name__he,name__io,name__it,name__ka,name__kn,name__mg,name__mr,name__ms,name__my,name__oc,name__pl,name__pt_br,name__sr,name__sv,name__ta,name__vep,name__yo,name__be,name__nb,name__su,name__nn,name__ca,name__ko,name__sco,name__qu,name__la,name__ml,name__pa,name__te,name__cs,name__ne,name__hy,name__sk,name__sd,name__zh_hant,name__zh_cn,name__eu,name__mai,name__as,wikipedia__af,wikipedia__ar,wikipedia__as,wikipedia__ba,wikipedia__be,wikipedia__bpy,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cy,wikipedia__da,wikipedia__el,wikipedia__enwikinews,wikipedia__enwikiquote,wikipedia__eo,wikipedia__et,wikipedia__fa,wikipedia__fawikiquote,wikipedia__fi,wikipedia__he,wikipedia__hy,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__kn,wikipedia__ko,wikipedia__la,wikipedia__mai,wikipedia__mg,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__my,wikipedia__ne,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__pa,wikipedia__pl,wikipedia__plwikiquote,wikipedia__qu,wikipedia__sco,wikipedia__sd,wikipedia__simple,wikipedia__sk,wikipedia__sr,wikipedia__su,wikipedia__sv,wikipedia__ta,wikipedia__te,wikipedia__vep,wikipedia__yo,wikipedia__zh,identifier__ISNI,identifier__GND,identifier__BNF,identifier__SUDOC,name__nds,name__xmf,name__ro,name__th,name__vi,wikipedia__ro,wikipedia__th,wikipedia__vi,wikipedia__xmf,family_name,identifier__IMDB,identifier__MusicBrainz,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,name__gl,name__kk_arab,name__kk_cn,name__kk_tr,name__kk_kz,name__kk_cyrl,name__kk_latn,name__kk,wikipedia__gl,wikipedia__kk,identifier__GTAA,wikipedia__trwikiquote,website,name__an,name__ast,name__bar,name__br,name__co,name__de_at,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__ie,name__is,name__kg,name__lb,name__li,name__lij,name__min,name__nap,name__nds_nl,name__nrm,name__pcd,name__pms,name__rm,name__sc,name__scn,name__sl,name__sr_el,name__sw,name__vec,name__vls,name__vo,name__wa,name__wo,name__zu,identifier__NTA
Q23047518,,"Abdullah Al Kafi",,,"Abdullah Al Kafi",,"Abdullah Al Kafi",male,politician,1945-02-28,2005-09-12,"Abdullah Al Kafi",,,"Abdullah Al Kafi",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a6/Abdullah_Al_Kafi.jpg,,,,,Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q234814,"খালেদা জিয়া","Khaleda Zia","Khaleda Zia","Khaleda Zia","Khaleda Zia","খালেদা জিয়া","Khaleda Zia",female,politician,1945-08-15,,"Khaleda Zia","Khaleda Zia","Халеда Зіа","Khaleda Zia","Jaleda Zia","Khaleda Zia",,"Jaleda Zia","खालेदा जिय़ा","Khaleda Zia","Khaleda Zia","खालिदा ज़िया","Khaleda Zia","Khaleda Zia","Халеда Зіа","https://upload.wikimedia.org/wikipedia/commons/c/c9/Begum_Zia_Book-opening_Ceremony,_1_Mar,_2010.jpg",/m/0230sz,1607643,n89262084,,,"Begüm Halide Ziya",,"卡莉達·齊亞","Begüm Halide Ziya",,"Зиа, Халеда","カレダ・ジア","Зиа, Халеда","Jaleda Zia",,,,"خالدة ضياء",,"Khaleda Zia",,,,,"خالده ضیا","Khaleda Zia",,,"Khaleda Zia","ხალედა ზია",,,"खालेदा झिया","Begum Khaleda Zia",,,"Chaleda Zia",,,"Khaleda Zia",,,,,"Khaleda Zia",,"Khaleda Zia",,"칼레다 지아",,,,"ഖാലിദ സിയ",,,,,,,,"卡莉達·齊亞","卡莉达·齐亚","Khaleda Zia",,,,"خالدة ضياء",,,,,,,,,"Khaleda Zia",,,,,,"خالده ضیا",,"Khaleda Zia",,,,"Khaleda Zia","カレダ・ジア","ხალედა ზია",,"칼레다 지아",,,,"ഖാലിദ സിയ","खालेदा झिया","Khaleda Zia",,,"Khaleda Zia","Khaleda Zia","Khaleda Zia",,,"Chaleda Zia",,,,,"Khaleda Zia",,,,"Khaleda Zia","காலிதா சியா","ఖలేడా జియా",,,"卡莉達·齊亞",,,,,,,,,,,,,,,,,"卡莉达·齐亚","卡莉達·齊亞","卡莉达·齐亚","卡莉達·齊亞","Begum Khaleda Zia","حالەدا زىييا بەگۋم","حالەدا زىييا بەگۋم","Xaleda Zïya Begwm","Халеда Зия Бегум","Халеда Зия Бегум","Xaleda Zïya Begwm","Халеда Зия Бегум","Begum Khaleda Zia","Халеда Зия Бегум",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23682377,,"Hazera Khatun",,,"Hazera Khatun",,"Hazera Khatun",female,,,,"Hazera Khatun",,,"Hazera Khatun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23682762,,"Syeda Razia Faiz",,,"Syeda Razia Faiz",,"Syeda Razia Faiz",female,,,2013-11-15,"Syeda Razia Faiz",,,"Syeda Razia Faiz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23881773,,"Nilufer Zafar",,,"Nilufer Zafar",,"Nilufer Zafar",female,politician,1949-06-06,,"Nilufer Zafar",,,"Nilufer Zafar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23881883,,"Kazi Zafarullah",,,"Kazi Zafarullah",,"Kazi Zafarullah",male,,1949,,"Kazi Zafarullah",,,"Kazi Zafarullah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q24175639,,"Mahbubul Alam Tara",,,"Mahbubul Alam Tara",,"Mahbubul Alam Tara",male,politician,,,"Mahbubul Alam Tara",,,"Mahbubul Alam Tara",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q24175641,,"Anisul Huq",,,"Anisul Huq",,"Anisul Huq (politician)",male,politician,1956-03-30,,"Anisul Huq (politician)",,,"Anisul Huq",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q24175644,"বীরেন শিকদার","Biren Sikdar",,,"Biren Sikdar","বীরেন শিকদার",,male,politician,1949-10-16,,"বীরেন শিকদার",,,"Biren Sikdar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q24175646,"মোজাম্মেল হক সমাজী",,,,"মোজাম্মেল হক সমাজী","মোজাম্মেল হক সমাজী",,male,politician,,,"মোজাম্মেল হক সমাজী",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q24175648,"মিজানুর রহমান মিনু",,,,"মিজানুর রহমান মিনু","মিজানুর রহমান মিনু",,male,politician,,,"মিজানুর রহমান মিনু",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26466250,,"Mohammad Fazlul Azim",,,"Mohammad Fazlul Azim",,"Mohammad Fazlul Azim",male,,1945-02-21,,"Mohammad Fazlul Azim",,,"Mohammad Fazlul Azim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26703013,,"Syeda Sajeda Chowdhury",,,"Syeda Sajeda Chowdhury",,"Syeda Sajeda Chowdhury",female,,,,"Syeda Sajeda Chowdhury",,,"Syeda Sajeda Chowdhury",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26924748,,"Zahid Maleque",,,"Zahid Maleque",,"Zahid Maleque",male,,,,"Zahid Maleque",,,"Zahid Maleque",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26924752,,"Mashiur Rahaman Ranga",,,"Mashiur Rahaman Ranga",,"Mashiur Rahaman Ranga",male,,,,"Mashiur Rahaman Ranga",,,"Mashiur Rahaman Ranga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26924761,,"Narayan Chandra Chan",,,"Narayan Chandra Chan",,"Narayan Chandra Chan",male,,,,"Narayan Chandra Chan",,,"Narayan Chandra Chan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26924794,,"Ushwe Sing",,,"Ushwe Sing",,"Ushwe Sing",male,,,,"Ushwe Sing",,,"Ushwe Sing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26997545,,"Baby Maudud",,,"Baby Maudud","বেবী মওদুদ","Baby Maudud",female,politician,1948-06-23,2014-07-25,"বেবী মওদুদ",,,"Baby Maudud",,,,,,,,,,,,,,53287001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27044061,,"KM Obaidur Rahman",,,"KM Obaidur Rahman",,"KM Obaidur Rahman",male,,,2007-03-21,"KM Obaidur Rahman",,,"KM Obaidur Rahman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27063647,,"Monnujan Sufian",,,"Monnujan Sufian",,"Monnujan Sufian",female,,,,"Monnujan Sufian",,,"Monnujan Sufian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27178697,,"ASHK Sadek",,,"ASHK Sadek",,"ASHK Sadek",male,,,2007-09-09,"ASHK Sadek",,,"ASHK Sadek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27662705,,"Kalparanjan Chakma",,,"Kalparanjan Chakma",,"Kalparanjan Chakma",male,,,,"Kalparanjan Chakma",,,"Kalparanjan Chakma",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27707270,,"Ziaul Haque Zia",,,"Ziaul Haque Zia",,"Ziaul Haque Zia",,politician,1953-03-11,2016-11-04,"Ziaul Haque Zia",,,"Ziaul Haque Zia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27892444,,"Nasiruddin Ahmed Pintu",,,"Nasiruddin Ahmed Pintu",,"Nasiruddin Ahmed Pintu",,,,,"Nasiruddin Ahmed Pintu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3246667,"আব্দুল হামিদ","Abdul Hamid","Abdul Hamid","Abdul Hamid","Abdul Hamid","আব্দুল হামিদ","Abdul Hamid (politician)",male,politician,1944-01-01,,"Abdul Hamid (politician)","Abdul Hamid","Абдул Хамід","Abdul Hamid","Abdul Hamid","Abdul Hamid",,"Abdul Hamid","अब्दुल हामिद","Abdul Hamid (Politiker)","Abdul Hamid","अब्दुल हामिद (बांग्लादेशी राजनीतिज्ञ)","Abdul Hamid (politikus)","Abdul Hamid","Абдул Хамід",https://upload.wikimedia.org/wikipedia/commons/d/db/Abdul_Hamid_(politician).jpg,/m/0660jqx,,,,Abdul,"Abdul Hamid",,"阿卜杜勒·哈米德","Abdul Hamid (siyasetçi)",,"Хамид, Абдул","アブドゥル・ハーミド","Абдул Хамид (президент Бангладеш)","Abdul Hamid","Abdul Hamid","Abdul Hamid",,"محمد عبد الحميد",,"Abdul Hamid",,"Αμπντούλ Χαμίντ",,"Ābdul Hāmid","محمد عبدالحمید","Abdul Hamid",,,"Abdul Hamid","აბდულ ჰამიდი",,,,,,"Abdul Hamid","Abdul Hamid","Abdul Hamid","Абдул Хамид","Abdul Hamid",,"Hamid Abdul",,,"Abdul Hamid","Abdul Hamid","Abdul Hamid",,"압둘 하미드",,,"Abdul Hamid","അബ്ദുൽ ഹമീദ്",,,,,"Աբդուլ Համիդ",,,,,,,,,"محمد عبد الحميد",,,,,,"Category:Abdul Hamid (politician)",,,,"Αμπντούλ Χαμίντ",,,,"Ābdul Hāmid","محمد عبدالحمید",,"Abdul Hamid",,"Աբդուլ Համիդ (Բանգլադեշ)",,"Abdul Hamid (politico)","アブドゥル・ハーミド","აბდულ ჰამიდი (პოლიტიკოსი)",,"압둘 하미드 (정치인)","Abdul Hamid (politicus)",,,"അബ്ദുൽ ഹമീദ്",,,,,"Abdul Hamid (politicus)",,,"Abdul Hamid",,"Abdul Hamid",,,,,"Abdul Hamid (politician)",,"Абдул Хамид","Abdul Hamid (pulitikus)","Abdul Hamid (politiker)",,,"Hamid Abdul",,"阿卜杜勒·哈米德",,,,,,"აბდულ ჰამიდი","Abdul Hamid","อับดุล ฮามิด","Abdul Hamid","Abdul Hamid (politician)","อับดุล ฮามิด","Abdul Hamid","აბდულ ჰამიდი (პოლიტიკოსი)",Hamid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3250277,"মওদুদ আহমেদ","Maudud Ahmed","Maudud Ahmed","Maudud Ahmed","Maudud Ahmed","মওদুদ আহমেদ","Moudud Ahmed",male,barrister,1940-05-24,,"মওদুদ আহমেদ",,"Маудуд Ахмед","Moudud Ahmed","Moudud Ahmed","Moudud Ahmed",,"Moudud Ahmed","मौदूद अहमद",,,"मौदूद अहमद",,"Moudud Ahmed","Маудуд Ахмед",,,17364387,,,,,,,,,"Маудуд Ахмед",,"Маудуд Ахмед",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maudud Ahmed",,,,,,,,,,"0000 0000 6306 6788",,13191531h,035468327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070885184
Q3324440,"মোরশেদ খান","Morshed Khan","Morshed Khan","Morshed Khan","Morshed Khan",,"Morshed Khan",male,politician,1940-08-08,,"Morshed Khan",,,"Morshed Khan","Morshed Khan",,,"Morshed Khan",,,"Morshed Khan",,,,,https://upload.wikimedia.org/wikipedia/commons/b/b8/Morshed_Khan.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3350401,"আবদূর রশীদ তর্কবাগীশ","Abdur Rashid Tarkabagish","Abdur Rashid Tarkabagish","Abdur Rashid Tarkabagish","Abdur Rashid Tarkabagish","আবদুর রশীদ তর্কবাগীশ","Abdur Rashid Tarkabagish",male,,1900-11-27,1986-08-20,"Abdur Rashid Tarkabagish","Maulana Abdur Rashid Tarkabagish",,"Abdur Rashid Tarkabagish","Abdur Rashid Tarkabagish",,,,,,,,"Maulana Abdur Rashid Tarkabagish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4159817,"জমীরুদ্দিন সরকার","Muhammad Jamiruddin Sircar","Jamiruddin Sircar","Muhammad Jamiruddin Sircar","Muhammad Jamiruddin Sircar","জমিরুদ্দিন সরকার","Muhammad Jamiruddin Sircar",male,politician,1931-12-01,,"Jamiruddin Sircar",,"Джаміруддін Сіркар","Muhammad Jamiruddin Sircar","Muhammad Jamiruddin Sircar",,,"Muhammad Jamiruddin Sircar",,"Jamiruddin Sircar",,,,,"Джаміруддін Сіркар",,,39022883,no2001031465,,Muhammad,,,,,,"Джамируддин Сиркар","ムハマド・ジャミルディン・シルカル","Сиркар, Джамируддин",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q461816,"হুসেইন মুহাম্মদ এরশাদ","Hussain Muhammad Ershad","Hossain Mohammad Ershad","Hossain Mohammad Ershad","Hussain Muhammad Ershad","হুসেইন মুহাম্মদ এরশাদ","Hussain Muhammad Ershad",male,politician,1930-02-01,,"হুসেইন মুহাম্মদ এরশাদ","Hussain Muhammad Ershad","Хуссейн Мухаммед Ершад","Hussain Muhammad Ershad","Hossain Mohammad Ershad",,,"Hossain Mohammad Ershad",,"Hossain Mohammad Ershad","Hossain Mohammad Ershad",,"Hussain Muhammad Ershad",,"Хуссейн Мухаммед Ершад",https://upload.wikimedia.org/wikipedia/commons/7/7a/Hussain_Muhammad_Ershad.jpg,/m/03682y,72202995,n84217010,137750,,,,"艾尔沙德",,,"Эршад, Хуссейн Мохаммад","ホサイン・ムハマド・エルシャド","Эршад, Хуссейн Мохаммад","Hossain Mohammad Ershad",,,,"حسين محمد ارشاد",,,,,,,"حسین محمد ارشاد","Hossain Mohammad Ershad",,,"Hossain Mohammad Ershad",,,,"हुसेन मुहम्मद इर्शाद",,,,"Hossain Mohammad Ershad",,,,,,,,"Hossain Mohammad Ershad",,,,"후세인 무하메드 에르샤드",,,,,,,,,,,,"艾爾沙德","艾尔沙德",,,,,"حسين محمد ارشاد",,,,,,,,,,,,,,,"حسین محمد ارشاد",,"Hossain Mohammad Ershad",,,,"Hossain Mohammad Ershad",,,,"후세인 무하메드 에르샤드",,,,,"हुसेन मुहम्मद इर्शाद",,,,,,"Hossain Mohammad Ershad",,,"Hossain Mohammad Ershad",,,,,,,,,,,,,,"艾尔沙德",,11939023X,,,,,,,"Hussein Muhammad Ershad",,,"Hussein Muhammad Ershad",,,,,"艾尔沙德","艾爾沙德","艾尔沙德","艾爾沙德",,"حۋسسەين مۇحاممەد ەرشاد","حۋسسەين مۇحاممەد ەرشاد","Xwsseýn Muxammed Érşad","Хуссейн Мұхаммед Эршад","Хуссейн Мұхаммед Эршад","Xwsseýn Muxammed Érşad","Хуссейн Мұхаммед Эршад",,"Хуссейн Мұхаммед Эршад",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q462068,"সাইফুর রহমান","Saifur Rahman","Saifur Rahman","Saifur Rahman","Saifur Rahman","সাইফুর রহমান","Saifur Rahman (politician)",male,politician,1932-10-06,2009-09-05,"সাইফুর রহমান",,,"Saifur Rahman","Saifur Rahman",,"Saifur Rahman","Saifur Rahman",,"Saifur Rahman",,,,,,,/m/0drq6_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Saifur Rahman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4648023,,"A. K. Faezul Huq",,,"A. K. Faezul Huq",,"A. K. Faezul Huq",male,politician,1945-03-15,2007-07-19,"A. K. Faezul Huq",,,"A. K. Faezul Huq",,,,,,,,,,,,,,,,,A.,,,,,,,,,,,,,,"এ কে ফায়েজুল হক",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"এ কে ফায়েজুল হক",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
