id,name,birth_date,email,party,start_date,end_date,area,area_id,source,term
sulkhan-makhatadze,"Sulkhan Makhatadze",1982-06-26,smakhatadze@parliament.ge,"Faction ""The Georgian Dream - Social-Democrats""",2016-11-18,,"#56 Chiatura",56,http://www.chemiparlamenti.ge/en/parliamentarian/sulkhan-makhatadze,9
svetlana-kudba,"Svetlana Kudba",1952-05-15,skudba@parliament.ge,"The Georgian Dream",2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/svetlana-kudba,9
tamar-khulordava,"Tamar Khulordava",1979-02-12,tkhulordava@parliament.ge,"The Georgian Dream",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/tamar-khulordava,9
tamari-chugoshvili,"Tamari Chugoshvili",1984-12-31,tchugoshvili@parliament.ge,"The Georgian Dream",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/tamari-chugoshvili,9
tamaz-naveriani,"Tamaz Naveriani",1967-01-08,tnaveriani@parliament.ge,"The Georgian Dream",2016-11-18,,"#36 Marneuli",36,http://www.chemiparlamenti.ge/en/parliamentarian/tamaz-naveriani,9
teimuraz-chkuaseli,"Teimuraz Chkuaseli",1944-09-20,tchkuaseli@parliament.ge,"The Georgian Dream",2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/teimuraz-chkuaseli,9
teimuraz-kokhreidze,"Teimuraz Kokhreidze",1963-01-01,tkokhreidze@parliament.ge,"The Georgian Dream - Entrepreneurs",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/teimuraz-kokhreidze,9
tengiz-gunava,"Tengiz Gunava",1976-03-29,tgunava@parliament.ge,"Movement for Liberty - European Georgia",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/tengiz-gunava,9
tengizi-khubuluri,"Tengizi Khubuluri",1955-09-28,Tkhubuluri@parliament.ge,"The Georgian Dream - Entrepreneurs",,,"#42 Gori",42,http://www.chemiparlamenti.ge/en/parliamentarian/tengizi-khubuluri,9
tinatin-bokuchava,"Tinatin Bokuchava",1983-05-29,tbokuchava@parliament.ge,"The United National Movement",,,,,http://www.chemiparlamenti.ge/en/parliamentarian/tinatin-bokuchava,9
tsotne-zurabiani,"Tsotne Zurabiani",1984-09-28,tszurabiani@parliament.ge,"The Georgian Dream",2016-11-18,,"#57 Tskaltubo",57,http://www.chemiparlamenti.ge/en/parliamentarian/tsotne-zurabiani,9
vano-zardiashvili,"Vano Zardiashvili",1982-09-12,vzardiashvili@parliament.ge,"The Georgian Dream",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/vano-zardiashvili,9
viktor-japaridze,"Viktor Japaridze",1966-10-29,vjapharidze@parliament.ge,"The Georgian Dream",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/viktor-japaridze,9
zakaria-kutsnashvili,"Zakaria Kutsnashvili",1972-02-13,zkutsnashvili@parliament.ge,"The Georgian Dream",2016-11-18,,"#38 Dusheti",38,http://www.chemiparlamenti.ge/en/parliamentarian/zakaria-kutsnashvili,9
zaza-gabunia,"Zaza Gabunia",1984-04-23,zgabunia@parliament.ge,"Georgian Dream - Greens",2016-11-18,,"#19 ნაძალადევი",19,http://www.chemiparlamenti.ge/en/parliamentarian/zaza-gabunia,9
zaza-kedelashvili,"Zaza Kedelashvili",1985-11-12,zkedelashvili@parliament.ge,"European Georgia",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/zaza-kedelashvili,9
zaza-khutsishvili,"Zaza Khutsishvili",1965-05-12,zkhutsishvili@parliament.ge,"The Georgian Dream",2016-11-18,,"#3 Vake",3,http://www.chemiparlamenti.ge/en/parliamentarian/zaza-khutsishvili,9
zaza-papuashvili,"Zaza Papuashvili",1964-10-20,zpapuashvili@parliament.ge,"The Georgian Dream",2016-11-18,,"#15 Didube",15,http://www.chemiparlamenti.ge/en/parliamentarian/zaza-papuashvili,9
zurab-chiaberashvili,"Zurab Chiaberashvili",1972-06-06,zchiaberashvili@parliament.ge,"მოძრაობა თავისუფლებისთვის - რეგიონები",2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/zurab-chiaberashvili,9
zviad-dzidziguri,"Zviad Dzidziguri",1964-10-31,zdzidziguri@parliament.ge,"The Georgian Dream - Conservatives",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/zviad-dzidziguri,9
zviad-kvachantiradze,"Zviad Kvachantiradze",1965-07-07,zkvatchantiradze@parliament.ge,"The Georgian Dream",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/zviad-kvachantiradze,9
