id,name__en,name__fi,name__sv,name__es,name__nl,name__de,name__nb,name__da,name__nn,name__fr,name__hu,name,wikipedia__en,wikipedia__fi,wikipedia__sv,gender,occupation,identifier__ISNI,identifier__VIAF,birth_date,identifier__freebase,family_name,given_name,identifier__Riksdagen,original_wikiname,name__it,name__cy,death_date,name__be_tarask,wikipedia__be_x_old,image,name__af,name__se,name__pl,name__pt,wikipedia__de,wikipedia__es,wikipedia__nn,wikipedia__no,wikipedia__pl,wikipedia__svwikiquote,identifier__IMDB,wikipedia__commons,name__la,name__id,name__uk,wikipedia__da,wikipedia__fr,wikipedia__id,wikipedia__la,wikipedia__pt,wikipedia__uk,identifier__EuroparlMEP,name__an,name__ast,name__bar,name__bm,name__br,name__ca,name__co,name__cs,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__et,name__eu,name__frc,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__oc,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sw,name__tr,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,name__ru,name__is,name__hy,wikipedia__eo,wikipedia__is,wikipedia__ru,wikipedia__simple,identifier__SELIBR,twitter,website,wikipedia__et,wikipedia__oc,identifier__LCAuth,identifier__SUDOC,identifier__FAST,name__ko,wikipedia__ko,name__fa,name__zh,wikipedia__fa,identifier__PACE,wikipedia__it,wikipedia__ro,identifier__BNF,identifier__SFDb,identifier__elonet,identifier__kinopoisk,identifier__DNF,wikipedia__sco,wikipedia__nl,name__zh_hant,name__zh_cn,name__el,identifier__OLID,name__bs,name__lmo,name__sl,name__sq,name__ja,name__ar,wikipedia__ar,wikipedia__ca,identifier__GND,wikipedia__tr,wikipedia__mg,name__fo,wikipedia__fo,wikipedia__ja,name__ka,name__ta,name__sh,name__mr,name__mk,name__he,name__be,name__ur,name__ty,name__hsb,wikipedia__be,wikipedia__br,wikipedia__cs,wikipedia__cswikiquote,wikipedia__el,wikipedia__fawikiquote,wikipedia__he,wikipedia__hsb,wikipedia__hu,wikipedia__hy,wikipedia__ka,wikipedia__lb,wikipedia__lt,wikipedia__lv,wikipedia__mr,wikipedia__ms,wikipedia__sh,wikipedia__sq,wikipedia__ta,wikipedia__ur,wikipedia__vi,wikipedia__zh,identifier__parlement,facebook,identifier__wikitree,name__bg,wikipedia__bg,wikipedia__fiwikiquote,wikipedia__ie,name__ku_arab,name__ku_latn,name__ku,wikipedia__ku,weblog,name__yo,name__sr,wikipedia__an,wikipedia__bs,wikipedia__gd,wikipedia__hr,wikipedia__io,wikipedia__mk,wikipedia__plwikiquote,wikipedia__sr,wikipedia__yo,identifier__NNDB,identifier__Munzinger,identifier__GTAA,wikipedia__enwikiquote,wikipedia__etwikiquote,identifier__NTA,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,wikipedia__gl,wikipedia__sk,identifier__Britannica,name__ckb,wikipedia__ckb,wikipedia__sw,name__fit,name__bn,identifier__NLI,name__sah,wikipedia__sah,wikipedia__nds,identifier__PORT,identifier__CSFD,name__sr_el,identifier__kansallisbiografia,name__az,name__hi,name__mn,name__qu,wikipedia__af,wikipedia__az,wikipedia__bn,wikipedia__frwikiquote,wikipedia__hi,wikipedia__mn,wikipedia__qu,wikipedia__se,wikipedia__eu,name__th,wikipedia__th,wikipedia__bswikiquote,wikipedia__ga,wikipedia__nowikiquote,wikipedia__svwikinews,identifier__BIBSYS
Q444747,"Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand",female,politician,,164558410,1973-10-02,/m/03mx19,,Maria,031414803913,"Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand",,,,https://upload.wikimedia.org/wikipedia/commons/9/92/Maria_Wetterstrand_3.jpg,"Maria Wetterstrand",,"Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand",,"Maria Wetterstrand",,"Maria Wetterstrand",,,,"Maria Wetterstrand",,,"Maria Wetterstrand","Maria Wetterstrand",,,,,"Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand","Maria Wetterstrand",,,,,,,,,,http://www.mp.se/mariawetterstrand,,,,150501412,,,,,,,,,,,,,,,"Maria Wetterstrand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maria Wetterstrand",,,,,,,,,,,,,,,,,,,,,
Q445997,"Cristina Husmark Pehrsson","Cristina Husmark Pehrsson","Cristina Husmark Pehrsson","Cristina Husmark Pehrsson","Cristina Husmark Pehrsson","Cristina Husmark Pehrsson","Cristina Husmark Pehrsson","Cristina Husmark Pehrsson","Cristina Husmark Pehrsson","Cristina Husmark Pehrsson","Cristina Husmark Pehrsson","Cristina Husmark Pehrsson","Cristina Husmark Pehrsson",,"Cristina Husmark Pehrsson",female,politician,,,1947-04-15,/m/0ks6cp,,Cristina,0652944607906,"Christina Husmark Pehrsson",,,,,,https://upload.wikimedia.org/wikipedia/commons/0/02/Cristina_Husmark_Pehrsson_nordisk_samarbetsminister_Sverige._Kopenhamn_2008-02-29.jpg,,,"Cristina Husmark Pehrsson",,"Cristina Husmark Pehrsson",,,,"Cristina Husmark Pehrsson",,,"Category:Cristina Husmark Pehrsson",,"Cristina Husmark Pehrsson",,,,"Cristina Husmark Pehrsson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Хусмарк Перссон, Кристина",,,,,"Хусмарк Перссон, Кристина",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q447542,"Maria Larsson","Maria Larsson","Maria Larsson","Maria Larsson","Maria Larsson","Maria Larsson","Maria Larsson","Maria Larsson","Maria Larsson","Maria Larsson","Maria Larsson","Maria Larsson","Maria Larsson","Maria Larsson","Maria Larsson (politiker)",female,politician,,27047853,1956-01-20,/m/0ks6fk,Larsson,Maria,0331967573912,"Maria Larsson (politiker)",,,,,,https://upload.wikimedia.org/wikipedia/commons/1/19/Maria_Larsson.jpg,,,"Maria Larsson",,"Maria Larsson",,,,"Maria Larsson",,,"Category:Maria Larsson",,"Maria Larsson",,,,"Maria Larsson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"瑪麗亞·拉森",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q450368,"Lisbeth Grönfeldt Bergman","Lisbeth Grönfeldt Bergman","Lisbeth Grönfeldt Bergman","Lisbeth Grönfeldt Bergman","Lisbeth Grönfeldt Bergman","Lisbeth Grönfeldt Bergman","Lisbeth Grönfeldt Bergman","Lisbeth Grönfeldt Bergman","Lisbeth Grönfeldt Bergman","Lisbeth Grönfeldt Bergman","Lisbeth Grönfeldt Bergman","Lisbeth Grönfeldt Bergman","Lisbeth Grönfeldt Bergman",,"Lisbeth Grönfeldt Bergman",female,politician,,,1948,/m/02w2mfn,Bergman,Lisbeth,0321274454602,"Lisbeth Grönfeldt Bergman",,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0a/Lisbeth_Gronfeldt_Bergman_(M)_Sverige_BSPC_19_Mariehamn_aland_2010.jpg,,,"Lisbeth Grönfeldt Bergman",,"Lisbeth Grönfeldt Bergman",,,,"Lisbeth Grönfeldt Bergman",,,,,,,,,,,,,5897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lisbeth Grönfeldt Bergman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lisbeth Grönfeldt Bergman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q455820,"Margaretha af Ugglas","Margaretha af Ugglas","Margaretha af Ugglas","Margaretha af Ugglas","Margaretha af Ugglas","Margaretha af Ugglas","Margaretha af Ugglas",,,"Margaretha af Ugglas","Margaretha af Ugglas","Margaretha af Ugglas","Margaretha af Ugglas","Margaretha af Ugglas","Margaretha af Ugglas",female,politician,,68906933,1939-01-05,/m/093yy_,,Margaretha,018160186302,"Margaretha af Ugglas",,,,,,,,,"Margaretha af Ugglas",,"Margaretha af Ugglas",,,"Margaretha af Ugglas","Margaretha af Ugglas",,,,,,"Маргарета Угглас",,"Margaretha af Ugglas",,,,"Маргарета Угглас",2148,,,,,,,,,,,,"Margaretha af Ugglas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4559562,"Jessica Polfjärd","Jessica Polfjärd","Jessica Polfjärd","Jessica Polfjärd","Jessica Polfjärd","Jessica Polfjärd",,,,"Jessica Polfjärd","Jessica Polfjärd","Jessica Polfjärd","Jessica Polfjärd",,"Jessica Polfjärd",female,politician,,,1971,,,Jessica,0630824497414,"Jessica Polfjärd",,,,,,"https://upload.wikimedia.org/wikipedia/commons/5/53/Jessica_Polfjärd.jpg",,,,,,,,,,,,"Category:Jessica Polfjärd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4563087,"Karin Åström","Karin Åström","Karin Åström","Karin Åström","Karin Åström","Karin Åström","Karin Åström",,,"Karin Åström","Karin Åström","Karin Åström","Karin Åström",,"Karin Åström",female,politician,,,1953,,,Karin,0699506181311,"Karin Åström",,,,,,https://upload.wikimedia.org/wikipedia/commons/1/18/Karin_Astrom_Senate_of_Poland.JPG,,,"Karin Åström",,,,,"Karin Åström","Karin Åström",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4563096,"Jennie Nilsson","Jennie Nilsson","Jennie Nilsson","Jennie Nilsson","Jennie Nilsson","Jennie Nilsson","Jennie Nilsson",,,"Jennie Nilsson","Jennie Nilsson","Jennie Nilsson","Jennie Nilsson",,"Jennie Nilsson",female,politician,,,1972,,Nilsson,Jennie,0339894357417,"Jennie Nilsson",,,,,,https://upload.wikimedia.org/wikipedia/commons/6/64/Socialdemokrat.Jennie_Nilsson_1c301_5872.jpg,,,,,,,,"Jennie Nilsson",,,,"Category:Jennie Nilsson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4563305,"Johan Löfstrand","Johan Löfstrand","Johan Löfstrand","Johan Löfstrand","Johan Löfstrand","Johan Löfstrand","Johan Löfstrand",,,"Johan Löfstrand","Johan Löfstrand","Johan Löfstrand","Johan Löfstrand",,"Johan Löfstrand",male,politician,,,1976,,,Johan,0612916684825,"Johan Löfstrand",,,,,,"https://upload.wikimedia.org/wikipedia/commons/c/cf/Johan_Löfstrand.jpg",,,,,,,,"Johan Löfstrand",,,,"Category:Johan Löfstrand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4575538,"Inger Nordlander","Inger Nordlander","Inger Nordlander","Inger Nordlander","Inger Nordlander","Inger Nordlander","Inger Nordlander",,,"Inger Nordlander","Inger Nordlander","Inger Nordlander","Inger Nordlander",,"Inger Nordlander",female,politician,,,1938,,,Inger,0320950917801,"Inger Nordlander",,,,,,,,,,,,,,"Inger Nordlander",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q457877,"Ewa Björling","Ewa Björling","Ewa Björling","Ewa Björling","Ewa Björling","Ewa Björling","Ewa Björling","Ewa Björling","Ewa Björling","Ewa Björling","Ewa Björling","Ewa Björling","Ewa Björling",,"Ewa Björling",female,politician,,107525277,1961-05-03,/m/02qcmx_,,Ewa,0784309503313,"Ewa Björling",,,,,,https://upload.wikimedia.org/wikipedia/commons/0/05/Modegalan2011_1c554_5277.Eva_Bjorling.jpg,,,"Ewa Björling",,"Ewa Björling","Ewa Björling",,,"Ewa Björling","Ewa Björling",,,,"Ewa Björling","Ева Бйорлінг",,"Ewa Björling","Ewa Björling",,,"Ева Бйорлінг",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ewa Björling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"愛娃·比約林","爱娃·比约林",,,,,,,,,,,,,"Ewa Björling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q458162,"Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson",,"Gunilla Carlsson",female,politician,,34442822,1963-05-11,/m/090jlb,,Gunilla,0977860675311,"Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson",,,,https://upload.wikimedia.org/wikipedia/commons/b/ba/Gunilla_Carlsson_(politiker).jpg,"Gunilla Carlsson",,"Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson",,,"Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson",,"Category:Gunilla Carlsson",,"Gunilla Carlsson",,,"Gunilla Carlsson","Gunilla Carlsson",,,,2261,"Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson","Gunilla Carlsson",,,,,,,,,,,"Gunilla Carlsson",,,,,,,,,,,,,,,,,,,,"古妮拉·卡爾鬆","古妮拉·卡爾松",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gunilla Carlsson",,,,,,,,,,,,,,,,,,,,,
Q4588714,"Erik Ullenhag","Erik Ullenhag","Erik Ullenhag","Erik Ullenhag","Erik Ullenhag","Erik Ullenhag","Erik Ullenhag","Erik Ullenhag","Erik Ullenhag","Erik Ullenhag","Erik Ullenhag","Erik Ullenhag","Erik Ullenhag",,"Erik Ullenhag",male,politician,,,1972-07-20,/m/026f4qw,,Erik,0275724540919,"Erik Ullenhag",,,,,,https://upload.wikimedia.org/wikipedia/commons/4/48/Erik_Ullenhag_1c399_0316.jpg,,,"Erik Ullenhag",,"Erik Ullenhag",,,,"Erik Ullenhag","Erik Ullenhag",,"Category:Erik Ullenhag",,"Erik Ullenhag",,,,"Erik Ullenhag",,,,,,,,,,,,,,,,,,"Erik Ullenhag",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Erik Ullenhag",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q459226,"Anita Gradin","Anita Gradin","Anita Gradin","Anita Gradin","Anita Gradin","Anita Gradin","Anita Gradin","Anita Gradin","Anita Gradin","Anita Gradin","Anita Gradin","Anita Gradin","Anita Gradin",,"Anita Gradin",female,politician,,105413459,1933-08-12,/m/075hw0,,Anita,0905188835300,"Anita Gradin",,,,,,,,,"Anita Gradin",,"Anita Gradin","Anita Gradin",,,"Anita Gradin",,,,,,,,"Anita Gradin",,,,,,,,,,,"Anita Gradin",,,,,,,"Anita Gradin",,,,,,,,,,,,,,,,,,,,"Anita Gradin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anita Gradin",,,,,,,,,,,,,,,,,1623,,,,,,,,,"Anita Gradin",,,,,,,,,,,,"Anita Gradin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anita Gradin",,,,,,,,,,vi2gloa8dbzr,,,,,,,,,,,,,,,,,,,,,,,,,104107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q460539,"Cecilia Wikström","Cecilia Wikström","Cecilia Wikström","Cecilia Wikström","Cecilia Wikström","Cecilia Wikström","Cecilia Wikström","Cecilia Wikström","Cecilia Wikström","Cecilia Wikström","Cecilia Wikström","Cecilia Wikström","Cecilia Wikström",,"Cecilia Wikström",female,politician,,7368550,1965-10-17,/m/02psg43,,Cecilia,0638431210311,"Cecilia Wikström","Cecilia Wikström",,,,,"https://upload.wikimedia.org/wikipedia/commons/1/16/Cecilia_Wikström_(Martin_Rulsch)_1.jpg",,,"Cecilia Wikström",,"Cecilia Wikström",,,,"Cecilia Wikström",,,"Category:Cecilia Wikström",,,,"Cecilia Wikström","Cecilia Wikström",,,,,96677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cecilia Wikström",,,,,,,,"Cecilia Wikström",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4605902,"Erling Wälivaara","Erling Wälivaara","Erling Wälivaara","Erling Wälivaara","Erling Wälivaara","Erling Wälivaara",,,,"Erling Wälivaara","Erling Wälivaara","Erling Wälivaara","Erling Wälivaara",,"Erling Wälivaara",male,politician,,,1941,,,Erling,0205071690103,"Erling Wälivaara",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q460597,"Anna Ibrisagic","Anna Ibrisagic","Anna Ibrisagic","Anna Ibrisagic","Anna Ibrisagic","Anna Ibrisagic","Anna Ibrisagic","Anna Ibrisagic","Anna Ibrisagic","Anna Ibrisagic","Anna Ibrisagic","Anna Ibrisagic","Anna Ibrisagic",,"Anna Ibrisagic",female,politician,,294849976,1967-05-23,/m/054v_d,,Anna,0379072486818,"Anna Ibrisagic","Anna Ibrisagic",,,,,,,,"Anna Ibrisagic",,"Anna Ibrisagic",,,,"Anna Ibrisagic",,,,,,,"Anna Ibrisagic",,,,,,28125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anna Ibrisagic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anna Ibrisagic","Anna Ibrisagic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4607561,"Kristina Zakrisson","Kristina Zakrisson","Kristina Zakrisson","Kristina Zakrisson","Kristina Zakrisson","Kristina Zakrisson",,,,"Kristina Zakrisson","Kristina Zakrisson","Kristina Zakrisson","Kristina Zakrisson",,"Kristina Zakrisson",female,politician,,,1956,,,Kristina,0798417016112,"Kristina Zakrisson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q460919,"Lena Hjelm-Wallén","Lena Hjelm-Wallén","Lena Hjelm-Wallén","Lena Hjelm-Wallén","Lena Hjelm-Wallén","Lena Hjelm-Wallén","Lena Hjelm-Wallén","Lena Hjelm-Wallén","Lena Hjelm-Wallén","Lena Hjelm-Wallén","Lena Hjelm-Wallén","Lena Hjelm-Wallén","Lena Hjelm-Wallén",,"Lena Hjelm-Wallén",female,diplomat,,,1943-01-14,/m/0b3s_w,,Lena,0439752610809,"Lena Hjelm-Wallén",,,,,,,,,"Lena Hjelm-Wallén",,"Lena Hjelm-Wallén",,,"Lena Hjelm-Wallén","Lena Hjelm-Wallén",,,,,,,,"Lena Hjelm-Wallén",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"萊娜·耶爾姆-瓦倫",,3099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4609260,"Siv Holma","Siv Holma","Siv Holma","Siv Holma","Siv Holma","Siv Holma",,,,"Siv Holma","Siv Holma","Siv Holma","Siv Holma",,"Siv Holma",female,politician,,,1952,,,Siv,0395416536118,"Siv Holma",,,2016-10-24,,,https://upload.wikimedia.org/wikipedia/commons/5/58/Siv_Holma_2.jpg,,,,,,,,,,,,"Category:Siv Holma",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"西·侯爾瑪",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
