id,name,gender,identifier__VIAF,identifier__BNF,birth_date,given_name,identifier__sycomore,identifier__senatfr,image,identifier__IMDB,identifier__MusicBrainz,identifier__EuroparlMEP,identifier__LCAuth,identifier__GND,identifier__discogs,family_name,identifier__freebase,identifier__journalisted,identifier__NPG,identifier__parliamentDOTuk,identifier__ISNI,identifier__NNDB,identifier__Muzinger,identifier__NTA,identifier__SUDOC,identifier__CANTIC,honorific_prefix,website,identifier__ULAN,identifier__OpenPlaques,honorific_suffix,email,identifier__NDL,name__en,name__be,name__ru,name__pl,identifier__IIAF,name__be_tarask,name__af,name__an,name__ast,name__bar,name__br,name__bs,name__ca,name__co,name__cs,name__cy,name__da,name__de,name__eo,name__es,name__et,name__eu,name__fi,name__fr,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__hu,name__is,name__it,name__lb,name__li,name__lij,name__lmo,name__lt,name__nap,name__nb,name__nds,name__nds_nl,name__nl,name__nn,name__pcd,name__pms,name__pt,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sl,name__sq,name__sv,name__tr,name__vec,name__vls,name__wa,wikipedia__pl,original_wikiname,wikipedia__be,wikipedia__plwikiquote,name__uk,wikipedia__be_x_old,wikipedia__ru,wikipedia__uk,name__ja,wikipedia__de,wikipedia__en,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__it,wikipedia__ja,wikipedia__nl,wikipedia__no,wikipedia__pt,wikipedia__sv,occupation,name__sr,wikipedia__hu,wikipedia__sr,facebook,wikipedia__bewikiquote,name__ar,name__ko,wikipedia__ar,wikipedia__ko,name__kana,wikipedia__es,name__zh,wikipedia__commons
Q26897656,"Людміла Пятроўна Кубракова",female,,,1970-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Людміла Пятроўна Кубракова",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Людміла Пятроўна Кубракова","Людміла Пятроўна Кубракова",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897659,"Станіслаў Францавіч Кулеш",male,,,1960-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Станіслаў Францавіч Кулеш",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Станіслаў Францавіч Кулеш","Станіслаў Францавіч Кулеш",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897661,"Наталля Генадзьеўна Кучынская",female,,,1971-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Наталля Генадзьеўна Кучынская",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Наталля Генадзьеўна Кучынская","Наталля Генадзьеўна Кучынская",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897664,"Галіна Баляславаўна Лазоўская",female,,,1960-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Галіна Баляславаўна Лазоўская",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Галіна Баляславаўна Лазоўская","Галіна Баляславаўна Лазоўская",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897667,"Ганна Віктараўна Лявіцкая",female,,,1961-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ганна Віктараўна Лявіцкая",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ганна Віктараўна Лявіцкая","Ганна Віктараўна Лявіцкая",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897671,"Алег Фёдаравіч Леўшуноў",male,,,1964-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Алег Фёдаравіч Леўшуноў",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Алег Фёдаравіч Леўшуноў","Алег Фёдаравіч Леўшуноў",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897676,"Валянціна Сцяпанаўна Лявоненка",female,,,1953-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Валянціна Сцяпанаўна Лявоненка",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Валянціна Сцяпанаўна Лявоненка","Валянціна Сцяпанаўна Лявоненка",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897678,"Віктар Андрэевіч Лісковіч",male,,,1960-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Віктар Андрэевіч Лісковіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Віктар Андрэевіч Лісковіч","Віктар Андрэевіч Лісковіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897681,"Ганна Люцыянаўна Лапаціна",female,,,1955-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ганна Люцыянаўна Лапаціна",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ганна Люцыянаўна Лапаціна","Ганна Люцыянаўна Лапаціна",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897684,"Зінаіда Міхайлаўна Мандроўская",female,,,1954-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Зінаіда Міхайлаўна Мандроўская",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Зінаіда Міхайлаўна Мандроўская","Зінаіда Міхайлаўна Мандроўская",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897687,"Аляксандр Вяніамінавіч Мяжуеў",male,,,1959-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Аляксандр Вяніамінавіч Мяжуеў",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Аляксандр Вяніамінавіч Мяжуеў","Аляксандр Вяніамінавіч Мяжуеў",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897688,"Валянцін Станіслававіч Мілашэўскі",male,,,1960-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Валянцін Станіслававіч Мілашэўскі",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Валянцін Станіслававіч Мілашэўскі","Валянцін Станіслававіч Мілашэўскі",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897689,"Людміла Сцяпанаўна Міхалькова",female,,,1956-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Людміла Сцяпанаўна Міхалькова",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Людміла Сцяпанаўна Міхалькова","Людміла Сцяпанаўна Міхалькова",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897690,"Васіль Кандрацьевіч Міхно",male,,,1955-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Васіль Кандрацьевіч Міхно",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Васіль Кандрацьевіч Міхно","Васіль Кандрацьевіч Міхно",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897691,"Жанна Мікалаеўна Мішур",female,,,1962-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Жанна Мікалаеўна Мішур",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Жанна Мікалаеўна Мішур","Жанна Мікалаеўна Мішур",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897692,"Леанід Паўлавіч Мажэйка",male,,,1954-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Леанід Паўлавіч Мажэйка",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Леанід Паўлавіч Мажэйка","Леанід Паўлавіч Мажэйка",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897706,"Мечыслаў Віктаравіч Морхат",male,,,1958-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Мечыслаў Віктаравіч Морхат",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Мечыслаў Віктаравіч Морхат","Мечыслаў Віктаравіч Морхат",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897707,"Ілья Аляксандравіч Мурашка",male,,,1981-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ілья Аляксандравіч Мурашка",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ілья Аляксандравіч Мурашка","Ілья Аляксандравіч Мурашка",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897709,"Андрэй Мікалаевіч Наумовіч",male,,,1963-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Андрэй Мікалаевіч Наумовіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Андрэй Мікалаевіч Наумовіч","Андрэй Мікалаевіч Наумовіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897710,"Ала Аляксандраўна Навумчык",female,,,1960-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ала Аляксандраўна Навумчык",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ала Аляксандраўна Навумчык","Ала Аляксандраўна Навумчык",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897711,"Аксана Уладзіміраўна Няхайчык",female,,,1967-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Аксана Уладзіміраўна Няхайчык",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Аксана Уладзіміраўна Няхайчык","Аксана Уладзіміраўна Няхайчык",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897712,"Генадзь Уладзіміравіч Пальчык",male,,,1962-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Генадзь Уладзіміравіч Пальчык",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Генадзь Уладзіміравіч Пальчык","Генадзь Уладзіміравіч Пальчык",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897713,"Васіль Парфёнавіч Папко",male,,,1958-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Васіль Парфёнавіч Папко",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Васіль Парфёнавіч Папко","Васіль Парфёнавіч Папко",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897714,"Мікалай Рыгоравіч Плаксіцкі",male,,,1955-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Мікалай Рыгоравіч Плаксіцкі",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Мікалай Рыгоравіч Плаксіцкі","Мікалай Рыгоравіч Плаксіцкі",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897715,"Аляксандр Іванавіч Паляйчук",male,,,1955-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Аляксандр Іванавіч Паляйчук",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Аляксандр Іванавіч Паляйчук","Аляксандр Іванавіч Паляйчук",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897716,"Вольга Сяргееўна Паліціка",female,,,1971-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Вольга Сяргееўна Паліціка",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Вольга Сяргееўна Паліціка","Вольга Сяргееўна Паліціка",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897718,"Аляксандр Андрэевіч Папкоў",male,,,1948-01-02,Alyaksandr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Аляксандр Андрэевіч Папкоў",,"Alaksandr Papkou",,,,,,,,,,,,,,,,"Alexander Popkov",,,,,,,,,,,,,,,,,,,,,,,"Alexander Popkov",,,,,,,,,,,,,,,,,,"Alaksandr Papkou","Аляксандр Андрэевіч Папкоў","Аляксандр Андрэевіч Папкоў",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alexander Popkov",,
Q26897719,"Міхаіл Іосіфавіч Пачынак",male,,,1951-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Міхаіл Іосіфавіч Пачынак",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Міхаіл Іосіфавіч Пачынак","Міхаіл Іосіфавіч Пачынак",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897721,"Уладзімір Іванавіч Пузырэўскі",male,,,1955-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Уладзімір Іванавіч Пузырэўскі",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Уладзімір Іванавіч Пузырэўскі","Уладзімір Іванавіч Пузырэўскі",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897722,"Віктар Уладзіміравіч Русак",male,,,1955-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Віктар Уладзіміравіч Русак",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Віктар Уладзіміравіч Русак","Віктар Уладзіміравіч Русак",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897724,"Міхаіл Фёдаравіч Савановіч",male,,,1955-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Міхаіл Фёдаравіч Савановіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Міхаіл Фёдаравіч Савановіч","Міхаіл Фёдаравіч Савановіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897726,"Аляксандр Іванавіч Сягоднік",male,,,1956-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Аляксандр Іванавіч Сягоднік",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Аляксандр Іванавіч Сягоднік","Аляксандр Іванавіч Сягоднік",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897728,"Эдуард Аляксандравіч Сенькевіч",male,,,1952-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Эдуард Аляксандравіч Сенькевіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Эдуард Аляксандравіч Сенькевіч","Эдуард Аляксандравіч Сенькевіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897729,"Ала Мікалаеўна Сопікава",female,,,1963-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ала Мікалаеўна Сопікава",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ала Мікалаеўна Сопікава","Ала Мікалаеўна Сопікава",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897730,"Ігар Станіслававіч Станкевіч",male,,,1967-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ігар Станіслававіч Станкевіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ігар Станіслававіч Станкевіч","Ігар Станіслававіч Станкевіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897731,"Аляксандр Пятровіч Удодаў",male,,,1952-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Аляксандр Пятровіч Удодаў",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Аляксандр Пятровіч Удодаў","Аляксандр Пятровіч Удодаў",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897732,"Сяргей Іосіфавіч Ушкевіч",male,,,1956-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Сяргей Іосіфавіч Ушкевіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Сяргей Іосіфавіч Ушкевіч","Сяргей Іосіфавіч Ушкевіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897734,"Віктар Дзмітрыевіч Фесак",male,,,1956-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Віктар Дзмітрыевіч Фесак",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Віктар Дзмітрыевіч Фесак","Віктар Дзмітрыевіч Фесак",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897735,"Галіна Васільеўна Філіповіч",female,,,1966-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Галіна Васільеўна Філіповіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Галіна Васільеўна Філіповіч","Галіна Васільеўна Філіповіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897736,"Дзмітрый Іванавіч Харытончык",male,,,1975-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Дзмітрый Іванавіч Харытончык",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Дзмітрый Іванавіч Харытончык","Дзмітрый Іванавіч Харытончык",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897737,"Аляксандр Уладзіміравіч Цацоха",male,,,1956-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Аляксандр Уладзіміравіч Цацоха",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Аляксандр Уладзіміравіч Цацоха","Аляксандр Уладзіміравіч Цацоха",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897738,"Уладзіслаў Станіслававіч Цыдзік",male,,,1953-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Уладзіслаў Станіслававіч Цыдзік",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Уладзіслаў Станіслававіч Цыдзік","Уладзіслаў Станіслававіч Цыдзік",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897739,"Святлана Уладзіславаўна Чэкан",female,,,1966-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Святлана Уладзіславаўна Чэкан",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Святлана Уладзіславаўна Чэкан","Святлана Уладзіславаўна Чэкан",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897740,"Уладзімір Алегавіч Чаравач",male,,,1959-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Уладзімір Алегавіч Чаравач",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Уладзімір Алегавіч Чаравач","Уладзімір Алегавіч Чаравач",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897741,"Алена Уладзіміраўна Шамаль",female,,,1973-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Алена Уладзіміраўна Шамаль",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Алена Уладзіміраўна Шамаль","Алена Уладзіміраўна Шамаль",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897742,"Дзмітрый Яўгенавіч Шаўцоў",male,,,1973-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Дзмітрый Яўгенавіч Шаўцоў",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Дзмітрый Яўгенавіч Шаўцоў","Дзмітрый Яўгенавіч Шаўцоў",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897743,"Пётр Генрыхавіч Шыкшнян",male,,,1955-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Пётр Генрыхавіч Шыкшнян",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Пётр Генрыхавіч Шыкшнян","Пётр Генрыхавіч Шыкшнян",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897744,"Уладзімір Уладзіміравіч Шыцько",male,,,1954-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Уладзімір Уладзіміравіч Шыцько",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Уладзімір Уладзіміравіч Шыцько","Уладзімір Уладзіміравіч Шыцько",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897745,"Уладзіслаў Аляксандравіч Шчэпаў",male,,,1976-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Уладзіслаў Аляксандравіч Шчэпаў",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Уладзіслаў Аляксандравіч Шчэпаў","Уладзіслаў Аляксандравіч Шчэпаў",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897746,"Віктар Уладзіміравіч Шчэцька",male,,,1955-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Віктар Уладзіміравіч Шчэцька",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Віктар Уладзіміравіч Шчэцька","Віктар Уладзіміравіч Шчэцька",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897747,"Аляксандр Іванавіч Юркевіч",male,,,1954-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Аляксандр Іванавіч Юркевіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Аляксандр Іванавіч Юркевіч","Аляксандр Іванавіч Юркевіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897748,"Мікалай Мяфодзьевіч Язубец",male,,,1955-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Мікалай Мяфодзьевіч Язубец",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Мікалай Мяфодзьевіч Язубец","Мікалай Мяфодзьевіч Язубец",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897749,"Генадзь Паўлавіч Грыцкевіч",male,,,1954-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Генадзь Паўлавіч Грыцкевіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Генадзь Паўлавіч Грыцкевіч","Генадзь Паўлавіч Грыцкевіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897750,"Наталля Васільеўна Гуйвік",female,,,1962-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Наталля Васільеўна Гуйвік",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Наталля Васільеўна Гуйвік","Наталля Васільеўна Гуйвік",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897751,"Алена Іванаўна Астапюк",female,,,1970-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Алена Іванаўна Астапюк",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Алена Іванаўна Астапюк","Алена Іванаўна Астапюк",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897752,"Ганна Анатолеўна Канапацкая",female,,,1979-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ганна Анатолеўна Канапацкая","Канопацкая, Анна Анатольевна",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ганна Анатолеўна Канапацкая","Ганна Анатолеўна Канапацкая",,,,"Канопацкая, Анна Анатольевна",,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897753,"Вольга Мікалаеўна Папко",female,,,1976-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Вольга Мікалаеўна Папко",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Вольга Мікалаеўна Папко","Вольга Мікалаеўна Папко",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27919177,"Віталь Рыгоравіч Місявец",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Віталь Рыгоравіч Місявец",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Віталь Рыгоравіч Місявец","Віталь Рыгоравіч Місявец",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3919972,"Ігар Аляксандравіч Марзалюк",male,24264399,,1968-09-11,Ihar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ігар Аляксандравіч Марзалюк","Марзалюк, Игорь Александрович",,,"Ігар Марзалюк",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ігар Аляксандравіч Марзалюк","Ігар Аляксандравіч Марзалюк",,,"Ігар Марзалюк","Марзалюк, Игорь Александрович",,,,,,,,,,,,,,,,,,,"Ігар Марзалюк",,,,,,,,
