id,name__en,name,image,gender,identifier__VIAF,identifier__GND,identifier__LCAuth,birth_date,identifier__freebase,given_name,website,identifier__Muzinger,identifier__journalisted,identifier__EuroparlMEP,family_name,death_date,identifier__ISNI,identifier__BNF,identifier__SUDOC,identifier__IMDB,identifier__NTA,identifier__NLA,identifier__NPG,identifier__MusicBrainz,identifier__SELIBR,identifier__NNDB,identifier__Oxforddnb,identifier__GTAA,honorific_prefix,name__zh,name__pl,name__eu,name__fr,name__ru,name__es,name__ca,name__hu,name__fi,name__it,name__la,name__cy,name__de,name__br,name__ga,name__nl,name__sv,name__mzn,name__oc,name__nb,name__da,name__nn,name__he,wikipedia__br,wikipedia__ca,wikipedia__cy,wikipedia__de,wikipedia__en,wikipedia__es,wikipedia__eu,wikipedia__fi,wikipedia__fr,wikipedia__ga,wikipedia__he,wikipedia__hu,wikipedia__it,wikipedia__la,wikipedia__mzn,wikipedia__nl,wikipedia__pl,wikipedia__ru,wikipedia__simple,wikipedia__sv,wikipedia__zh,identifier__Munzinger,identifier__hansard,name__be,name__gl,name__id,name__bn,name__ar,name__pt,name__eo,name__uk,name__be_tarask,name__cs,name__bg,name__fa,name__ckb,name__az,name__ko,name__hy,wikipedia__ar,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__ckb,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__enwikiquote,wikipedia__eo,wikipedia__fa,wikipedia__gl,wikipedia__id,wikipedia__ko,wikipedia__nn,wikipedia__no,wikipedia__pt,wikipedia__uk,original_wikiname,name__af,wikipedia__af,wikipedia__plwikiquote,name__gd,name__yo,name__et,name__ja,name__pnb,name__sk,name__ku_arab,name__ku_latn,name__tr,name__ku,name__hi,name__ur,wikipedia__et,wikipedia__gd,wikipedia__ja,wikipedia__ku,wikipedia__pnb,wikipedia__sk,wikipedia__tr,wikipedia__ur,wikipedia__yo,identifier__parliamentDOTuk,name__nan,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__is,name__ro,name__mr,name__io,wikipedia__io,wikipedia__is,wikipedia__mr,wikipedia__ro,wikipedia__zh_min_nan,name__el,name__sr_el,name__sr_ec,name__hr,name__sco,name__sr,name__ie,wikipedia__el,wikipedia__hr,wikipedia__ie,wikipedia__itwikiquote,wikipedia__sco,wikipedia__sr,identifier__GNC,identifier__publicwhip,name__en_ca,name__en_gb,name__tl,wikipedia__tl,name__de_ch,name__yue,name__an,name__bs,name__ceb,name__lb,name__lmo,name__lt,name__nds,name__nds_nl,name__pms,name__sl,name__sq,name__vec,name__wa,name__vmf,twitter,name__ta,wikipedia__ta,identifier__discogs,identifier__TWFY,identifier__bbc_democracy_live,identifier__Britannica,identifier__FAST,identifier__N6I,identifier__parliamentary_record,identifier__CSPAN,name__sh,wikipedia__sh,wikipedia__hiwikiquote,identifier__BNE,identifier__OLID,occupation,identifier__BBC_things,name__nrm,wikipedia__nrm,identifier__snac,noble_title,identifier__DoUB,wikipedia__sl,identifier__nobel_prize,identifier__MGP,name__ast,name__bar,name__bm,name__co,name__de_at,name__frc,name__frp,name__fur,name__gsw,name__ia,name__jam,name__kab,name__kg,name__li,name__lij,name__lv,name__mg,name__min,name__ms,name__nap,name__pap,name__pcd,name__prg,name__pt_br,name__rgn,name__rm,name__sc,name__scn,name__sw,name__vi,name__vls,name__vo,name__wo,name__zu,name__fit,identifier__wikitree,wikipedia__enwikinews,identifier__guardian_topic,identifier__PACE,wikipedia__cawikiquote,wikipedia__bgwikiquote,identifier__nlg,facebook
Q264117,"Brian Wilson","Brian Wilson",,male,92010429,,,1943,/m/06hp7z,Brian,,,,,Wilson,,,,,,,,,,,,,,,,,,"Brian Wilson","Брайан Уилсон","Brian Wilson",,"Brian Wilson",,,,,"Brian Wilson",,,"Brian Wilson","Brian Wilson",,,,,,,,,,,"Brian Wilson (Northern Ireland politician)",,,,,,,,,,,,,,,"Brian Wilson (Nordirland)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q268465,"Gregory Campbell","Gregory Campbell",https://upload.wikimedia.org/wikipedia/commons/4/42/GregoryCampell.jpg,male,,,,1953-02-15,/m/025txn,Gregory,http://www.mydup.com/who-we-are/gregory-campbell,,,,,,,,,,,,,,,,,,,"格雷哥里·坎貝爾",,,"Gregory Campbell",,"Gregory Campbell",,"Gregory Campbell",,"Gregory Campbell",,,"Gregory Campbell",,,"Gregory Campbell","Gregory Campbell",,,,,,,,,,,"Gregory Campbell (politician)",,,,,,,,,,,,,,,"Gregory Campbell","格雷哥里·坎貝爾",,mr-gregory-campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"グレゴリー・キャンベル",,,,,,,,,,,,,,,,,,commons/mr-gregory-campbell/1409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27973930,"Órlaithí Flynn","Órlaithí Flynn",,female,,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Órlaithí Flynn",,,,,,,,,,,,"Órlaithí Flynn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28867747,"Elisha McCallion","Elisha McCallion",,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elisha McCallion",,,,,,,,,,,,"Elisha McCallion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28867758,"Sinéad Ennis","Sinéad Ennis",,female,,,,,,"Sinéad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sinéad Ennis",,,,,,,,,,,,"Sinéad Ennis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28867959,"Jemma Dolan","Jemma Dolan",,female,,,,,,Jemma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jemma Dolan",,,,,,,,,,,,"Jemma Dolan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28867994,"Jonathan Buckley","Jonathan Buckley",,male,,,,,,Jonathan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jonathan Buckley",,,,,,,,,,,,"Jonathan Buckley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28868387,"John Stewart","John Stewart",,male,,,,,,John,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"John Stewart",,,,,,,,,,,,"John Stewart (Northern Ireland politician)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28868438,"Pat Catney","Pat Catney",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pat Catney",,,,,,,,,,,,"Pat Catney",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2904605,"Eamonn McCann","Eamonn McCann","https://upload.wikimedia.org/wikipedia/commons/1/11/Anti-Austerity_March,_Belfast,_October_2012_(025).JPG",male,246411620,,n80109148,1943,/m/07_s_h,Eamonn,http://www.eamonnmccann.com/,,,,,,,,104455322,,,,,,,,,,,,,,"Eamonn McCann",,"Eamonn McCann",,,,"Eamonn McCann",,,"Eamonn McCann",,,"Eamonn McCann","Eamonn McCann",,,,,,,,,,,"Eamonn McCann",,,,,,,,"Eamonn McCann",,,,,,,"Eamonn McCann",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"イアモン・マッキャン",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59726,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2947124,"William Thompson","William Thompson",,male,49305012,,,1939-10-26,,William,,,,,,2010-12-12,"0000 0001 0898 9018",12379667h,032846266,,11277072X,,,,,,,,,,,,"William Thompson",,"William Thompson",,"William Thompson",,,,"William Thompson","William Thompson",,,"William Thompson",,,,,,,,,,,,"William Thompson (Ulster Unionist politician)",,,,,,,,,,,"William Thompson (politicus)",,,,,,,mr-william-thompson,,,,,,"William Thompson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"William Thompson (político)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,w6k11svj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q296597,"Ian Paisley","Ian Paisley",https://upload.wikimedia.org/wikipedia/commons/e/eb/DrIanPaisley.jpg,male,79426950,119479362,n50051819,1926-04-06,/m/0nxf7,Ian,,,,1396,Paisley,2014-09-12,"0000 0000 7863 4864",12062254n,028878302,nm0656945,072783273,35406216,mp52885,,,766/000085511,,,,"伊恩·佩斯利","Ian Paisley","Ian Paisley","Ian Paisley","Пейсли, Иан","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ioannes Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley",,"Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","איאן פייזלי",,"Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","איאן פייזלי","Ian Paisley","Ian Paisley","Ioannes Paisley",,"Ian Paisley","Ian Paisley","Пейсли, Иан","Ian Paisley","Ian Paisley","伊恩·佩斯利",00000012445,reverend-dr-ian-paisley,,"Ian Paisley","Ian Paisley",,,"Ian Paisley","Ian Paisley","Іан Пейслі",,"Ian Paisley",,,,,"이언 페이즐리",,,,,,,,,"Category:Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley",,"Ian Paisley",,"이언 페이즐리",,"Ian Paisley","Ian Paisley","Іан Пейслі",,"Ian Paisley","Ian Paisley",,"Ian Paisley",,"Ian Paisley","イアン・ペイズリー",,"Ian Paisley",,,"Ian Paisley",,,,,,"イアン・ペイズリー",,,,,,,lords/lord-bannside/4149,,"伊恩·佩斯利","伊恩·佩斯利","伊恩·佩斯利","伊恩·佩斯利","伊恩·佩斯利","伊恩·佩斯利",,"Ian Paisley",,"Ian Paisley",,,,"Ian Paisley",,"Ίαν Πέσλεϊ","Ijan Pejsli","Ијан Пејсли","Ian Paisley","Ian Paisley","Ијан Пејсли","Ian Paisley","Ίαν Πέισλι","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ијан Пејсли",0048249,,"Ian Paisley","Ian Paisley",,,"Ian Paisley",,"Ian Paisley",,,"Ian Paisley",,"Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley",,,"Ian Paisley","Ian Paisley","Ian Paisley",,,,,,,,,,,,"Ian Paisley","Ian Paisley",,,,politician,,"Ian Paisley",,,,,,,,"Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley","Ian Paisley",,,,,,"Ian Paisley",,,
Q300243,"Nigel Dodds","Nigel Dodds",https://upload.wikimedia.org/wikipedia/commons/1/13/NigelDodds.jpg,male,304250698,,n98040344,1958-08-20,/m/025tw4,Nigel,http://www.nigeldodds.co.uk/,,nigel-dodds,,,,,,075992612,,,,,,,,,,,"尼格爾·多茲",,,"Nigel Dodds",,"Nigel Dodds",,"Nigel Dodds",,,,,"Nigel Dodds",,,"Nigel Dodds","Nigel Dodds",,,,,,,,,,"Nigel Dodds","Nigel Dodds",,,,,,,,,,,,,,,"Nigel Dodds","尼格爾·多茲",,mr-nigel-dodds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commons/mr-nigel-dodds/1388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigel_Dodds,,,,,,,,,,,,,,,,,,,,,,,,,nigel_dodds,25658,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5585,,,,
Q300269,"Pat Doherty","Pat Doherty",https://upload.wikimedia.org/wikipedia/commons/0/04/PatDoherty.jpg,male,,,,1945-07-18,/m/025q2d,Patrick,,,,,,,,,,,,,,,,,,,,"帕特·杜赫提",,,"Patrick Doherty",,"Pat Doherty",,"Pat Doherty","Patrick Doherty",,,,"Pat Doherty",,,"Pat Doherty","Pat Doherty",,,,,,,,,,,"Pat Doherty",,,"Patrick Doherty","Patrick Doherty",,,,,,,,,,,"Pat Doherty","帕特·杜赫提",,mr-pat-doherty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commons/mr-pat-doherty/1465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q300292,"Jeffrey Donaldson","Jeffrey Donaldson",,male,22098572,,,1962-12-07,/m/024ny0,Jeffrey,http://www.jeffreydonaldson.org/,,,,,,,,,,,,,,,,,,,"傑福瑞·唐納森",,,"Jeffrey Donaldson",,"Jeffrey Donaldson",,"Jeffrey Donaldson",,,,,"Jeffrey Donaldson",,,"Jeffrey Donaldson","Jeffrey Donaldson",,,,,,,,,,,"Jeffrey Donaldson",,,,,,,,,,,,,,,"Jeffrey Donaldson","傑福瑞·唐納森",,mr-jeffrey-donaldson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commons/mr-jeffrey-m.-donaldson/650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vtls000287450,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q302620,"Mark Durkan","Mark Durkan",https://upload.wikimedia.org/wikipedia/commons/6/6f/MarkDurkan.jpg,male,,,,1960-06-26,/m/0250c7,Mark,,,,,,,,,,,,,,,,,,,,"馬克·杜爾肯",,,"Mark Durkan",,"Mark Durkan",,"Mark Durkan","Mark Durkan",,,,"Mark Durkan",,"Mark Durkan","Mark Durkan","Mark Durkan",,,,,,,,,,,"Mark Durkan",,,"Mark Durkan",,"Mark Durkan",,,,,,,,,,"Mark Durkan","馬克·杜爾肯",,mr-mark-durkan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"マーク・ダーカン",,,,,,,,,,,,,,,,,,commons/mark-durkan/1594,,,,,"马克·杜尔肯",,,,,,,,,,,,,,,,,,,,,,,,,,,"Mark Durkan","Mark Durkan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3181858,"John Kelly","John Kelly",,male,70215,,,1936-04-05,,John,,,,,,2007-09-06,"0000 0001 1436 265X",,,,,,,,,,,,,,,,"John Kelly","Джон Келли",,,"John Kelly",,,,"John Kelly","John Kelly",,,"John Kelly",,,,,,,,,,,,"John Kelly (Sinn Féin politician)",,,,"John Kelly (homme politique)",,,,,,,,,,,,,,,,,,,,,,,,,,"جان کلی",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q333036,"Peter Robinson","Peter Robinson",https://upload.wikimedia.org/wikipedia/commons/1/1a/Peter_Robinson_at_Titanic_Belfast_(Cropped).jpg,male,48415763,,,1948-12-29,/m/025q3t,Peter,,,,,Robinson,,,,,,,,,,,,,,,"彼德·羅賓遜","Peter Robinson",,"Peter Robinson","Робинсон, Питер","Peter Robinson",,"Peter Robinson","Peter Robinson","Peter Robinson","Petrus Robinson",,"Peter Robinson",,"Peter Robinson","Peter Robinson","Peter Robinson",,,"Peter Robinson","Peter Robinson",,,,,,"Peter Robinson (Politiker)","Peter Robinson (Northern Ireland politician)","Peter Robinson (político)",,"Peter Robinson","Peter Robinson (homme politique)","Peter Robinson",,"Peter Robinson (politikus)","Peter Robinson (politico)","Petrus Robinson",,,"Peter Robinson","Робинсон, Питер","Peter Robinson","Peter Robinson (politiker)","彼德·羅賓遜 (政治人物)",,mr-peter-robinson,,,,,,,,"Пітер Робінсон",,,,"پیتر رابینسون",,,"피터 로빈슨",,,,,,,,,"Category:Peter Robinson",,"Peter Robinson",,,,,,"피터 로빈슨 (정치인)",,"Peter Robinson (politiker)",,"Пітер Робінсон",,"Peter Robinson","Peter Robinson (politikus)",,,,,,,,,,"Peter Robinson",,,,,,,,,,"Peter Robinson",,,Commons/member/642,,,,,,,,,,,,,,,,,"Πίτερ Ρόμπινσον",,,,,,,"Πίτερ Ρόμπινσον",,,,,,,,"Peter Robinson","Peter Robinson","Peter Robinson","Peter Robinson (politiko)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82572,
Q333235,"Iris Robinson","Iris Robinson",,female,,,,1949-09-06,/m/025q32,Iris,,,,,Robinson,,,,,,,,,,,,,,,"艾瑞絲·羅賓遜",,"Iris Robinson","Iris Robinson","Ирис Робинсон","Iris Robinson",,"Iris Robinson",,,,,"Iris Robinson",,"Iris Robinson","Iris Robinson",,,,,,,,,,,"Iris Robinson","Iris Robinson",,,,,"Iris Robinson",,,,,,"Iris Robinson",,,,,,,mrs-iris-robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"アイリス・ロビンソン",,,,,,,,,,,"アイリス・ロビンソン",,,,,,,Commons/member/1456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q333646,"Gerry Fitt","Gerry Fitt",,male,77524151,134146026,nb2002072176,1926-04-09,/m/01q550,Gerry,,,,,,2005-08-26,"0000 0000 3959 1566",,131413325,,,,,,,,101095994,,,"蓋瑞·菲茨",,,"Gerry Fitt","Джерри Фитт","Gerry Fitt",,"Gerry Fitt",,,,"Gerry Fitt","Gerry Fitt",,"Gerry Fitt","Gerry Fitt","Gerry Fitt",,,"Gerry Fitt","Gerry Fitt","Gerry Fitt",,,,"Gerry Fitt","Gerry Fitt","Gerry Fitt",,,,,"Gerry Fitt",,,,,,,,,,,,,mr-gerry-fitt,,"Gerry Fitt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1574896,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q333729,"Jim Nicholson","Jim Nicholson","https://upload.wikimedia.org/wikipedia/commons/6/6d/Nicholson,_James-2641.jpg",male,315945558,,,1945-01-29,/m/02qsqs,Jim,,,,1318,,,,,,,,,,,,,,,,,"Jim Nicholson",,"Jim Nicholson","Джим Николсон","Jim Nicholson",,"Jim Nicholson",,,,,"Jim Nicholson",,,"Jim Nicholson","Jim Nicholson",,,"Jim Nicholson","Jim Nicholson","Jim Nicholson",,,,,"Jim Nicholson (Nordirland)","Jim Nicholson (politician)",,,,"Jim Nicholson (Irlande du Nord)",,,,,,,"Jim Nicholson (Noord-Iers politicus)","Jim Nicholson (polityk)",,,"Jim Nicholson",,,mr-jim-nicholson,,,,,,,,,,,,,,,,,,,,,,,,,,"Jim Nicholson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jim Nicholson",,,,,,"Jim Nicholson (politician)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q333991,"John Taylor, Baron Kilclooney","John Taylor, Baron Kilclooney",,male,,,,1937-12-24,/m/01c9n0,John,,,,1504,,,,,,,,,,,,,,,,,,,"John Taylor, Baron Kilclooney",,"John Taylor, Baron Kilclooney",,"John Taylor, Baron Kilclooney",,,,,"John Taylor, Baron Kilclooney",,,"John Taylor, Baron Kilclooney",,,,,,,,,,,"John Taylor, Baron Kilclooney","John Taylor, Baron Kilclooney",,,,,,,,,,,,,,,,,,mr-john-taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lords/lord-kilclooney/657,,,,,,,,,"John Taylor, Baron Kilclooney",,,,,,"John Taylor, Baron Kilclooney",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q335547,"Brian Faulkner","Brian Faulkner",,male,60320429,,n50000321,1921-02-18,/m/02668k,Brian,,,,,,1977-03-03,,,,,119738945,,,,,,101031096,,,,,,"Brian Faulkner",,"Brian Faulkner",,"Brian Faulkner",,,,,"Brian Faulkner",,,"Brian Faulkner","Brian Faulkner",,,"Brian Faulkner","Brian Faulkner","Brian Faulkner",,,,,"Brian Faulkner","Brian Faulkner","Brian Faulkner",,,"Brian Faulkner",,,,,,,,,,,,,,mr-arthur-faulkner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brian Faulkner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"布賴恩·福克納",,"布赖恩·福克纳",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1716296,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faulkner-1624,,,,,,,
Q336064,"Reg Empey","Reg Empey","https://upload.wikimedia.org/wikipedia/commons/a/a9/John_White,_Reg_Empey,_Roy_Beggs_(cropped_Empey).JPG",male,,,,1947-10-26,/m/05nkkx,Reg,,,,,,,,,,,,,,,,,,,,"雷吉·恩庇",,,"Reg Empey",,"Reg Empey",,"Reg Empey","Reg Empey",,,,"Reg Empey, Baron Empey",,,"Reg Empey","Reg Empey",,,"Reg Empey","Reg Empey",,,,,,"Reg Empey, Baron Empey","Reg Empey","Reg Empey",,"Reg Empey",,,,,,,,,,,,"Reg Empey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reg Empey",,,,,,,,"Reg Empey",,,,,,,,,,,,,,,,,,,,,,,,,,,,lords/lord-empey/4216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q336390,"John Alderdice, Baron Alderdice","John Alderdice, Baron Alderdice",https://upload.wikimedia.org/wikipedia/commons/5/5f/Lord_Alderdice.jpg,male,,,,1955-03-28,/m/05f3hg,John,,,,,,,,,,,,,,,,,,,"The Right Honourable","奧爾德代斯男爵約翰·奧爾德代斯",,,"John Alderdice",,"John Alderdice, Baron Alderdice",,"John Alderdice, Baron Alderdice",,,,,"John Alderdice",,,"John Alderdice, Baron Alderdice",,,,,,,,,,,"John Alderdice","John Alderdice, Baron Alderdice",,,,,,,,,,,,,,,,,,mr-john-alderdice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lords/lord-alderdice/3478,,,,,,,,,"John Alderdice",,,,,,"John Alderdice",,,,,,,,,,,,,,,,,"John Alderdice, Baron Alderdice","John Alderdice, Baron Alderdice",,,"John Alderdice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
