id,name__en,name__es,name__de,name__nb,name__da,name__nn,name__sv,name__nl,name__fr,name__hu,name,wikipedia__en,wikipedia__es,image,gender,occupation,birth_date,given_name,original_wikiname,name__ca,website,twitter,facebook,death_date,name__it,name__gl,name__pt,name__ru,name__pl,name__sr_el,name__sr_ec,name__ja,name__cs,name__fa,name__bg,name__sr,name__tr,name__mg,name__el,name__zh,wikipedia__bg,wikipedia__commons,wikipedia__cs,wikipedia__de,wikipedia__fa,wikipedia__fr,wikipedia__it,wikipedia__ja,wikipedia__mg,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__ptwikiquote,wikipedia__ru,wikipedia__sr,wikipedia__tr,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__IMDB,identifier__MusicBrainz,identifier__freebase,identifier__AlloCine,identifier__Munzinger,identifier__GNC,identifier__moviemeter,identifier__discogs,identifier__allmovie,identifier__FAST,identifier__SFDb,identifier__elonet,identifier__PORT,identifier__SCOPE,identifier__kinopoisk,identifier__CSFD,identifier__DNF,identifier__filmportal_de,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__eu,name__he,name__ko,name__oc,name__yo,name__ms,name__et,name__id,name__sh,name__ar,name__gn,name__sk,name__ro,name__fi,name__uk,name__la,name__io,name__mr,name__ka,name__hr,name__lt,name__jv,name__eo,name__qu,name__de_ch,name__en_ca,name__en_gb,name__pt_br,wikipedia__ar,wikipedia__ca,wikipedia__da,wikipedia__enwikiquote,wikipedia__eo,wikipedia__eswikinews,wikipedia__eswikiquote,wikipedia__et,wikipedia__eu,wikipedia__fi,wikipedia__gl,wikipedia__gn,wikipedia__he,wikipedia__hr,wikipedia__hu,wikipedia__id,wikipedia__io,wikipedia__jv,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lt,wikipedia__lv,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__oc,wikipedia__plwikiquote,wikipedia__qu,wikipedia__ro,wikipedia__sh,wikipedia__simple,wikipedia__sk,wikipedia__sv,wikipedia__uk,wikipedia__yo,wikipedia__zh,identifier__BNE,identifier__NNDB,identifier__BVMC,name__sl,name__br,wikipedia__br,wikipedia__sl,pseudonym,family_name,name__vi,name__be,wikipedia__be,wikipedia__eswikisource,wikipedia__vi,identifier__snac,identifier__bna,name__lv,identifier__Britannica,name__cy
Q312358,"Adolfo Rodríguez Saá","Adolfo Rodríguez Saá","Adolfo Rodríguez Saá","Adolfo Rodríguez Saá","Adolfo Rodríguez Saá","Adolfo Rodríguez Saá","Adolfo Rodríguez Saá","Adolfo Rodríguez Saá","Adolfo Rodríguez Saá","Adolfo Rodríguez Saá","Adolfo Rodríguez Saá","Adolfo Rodríguez Saá","Adolfo Rodríguez Saá",https://upload.wikimedia.org/wikipedia/commons/0/0e/Arodriguezsaa.jpg,male,lawyer,1947-07-25,Adolfo,"Adolfo Rodríguez Saá","Adolfo Rodríguez Saá",,,,,"Adolfo Rodríguez Saá","Adolfo Rodríguez Saá","Adolfo Rodríguez Saá","Родригес Саа, Адольфо","Adolfo Rodríguez Saá",,,,"Adolfo Rodríguez Saá","آدولفو رودریگز ساآ",,,,,,"罗德里格斯·萨阿",,,"Adolfo Rodríguez Saá","Adolfo Rodríguez Saá","آدولفو رودریگز ساآ","Adolfo Rodríguez Saá","Adolfo Rodríguez Saá",,,"Adolfo Rodríguez Saá","Adolfo Rodríguez Saá","Adolfo Rodríguez Saá",,"Родригес Саа, Адольфо",,,,41002849,,n90672924,,,,,/m/01xxcs,,,,,,,272756,,,,,,,,,"罗德里格斯·萨阿","羅德里格斯·薩阿","羅德里格斯·薩阿","罗德里格斯·萨阿","罗德里格斯·萨阿","羅德里格斯·薩阿",,"אדולפו רודריגס סאה","아돌포 로드리게스 사아","Adolfo Rodríguez Saá","Adolfo Rodríguez Saá",,"Adolfo Rodríguez Saá","Adolfo Rodriguez Saa",,"أدولفو رودريغيز سا",,,,"Adolfo Rodríguez Saá","Адольфо Родрігес Саа",,"Adolfo Rodríguez Saá",,"ადოლფო როდრიგეს საა",,"Adolfo Rodríguez Saá",,"Adolfo Rodríguez Saá",,,,,,"أدولفو رودريغيز سا","Adolfo Rodríguez Saá",,,"Adolfo Rodríguez Saá",,,"Adolfo Rodríguez Saá",,"Adolfo Rodríguez Saá","Adolfo Rodríguez Saá",,"אדולפו רודריגס סאה",,,"Adolfo Rodriguez Saa","Adolfo Rodríguez Saá",,"ადოლფო როდრიგეს საა","아돌포 로드리게스 사아",,"Adolfo Rodríguez Saá",,,,"Adolfo Rodríguez Saá","Adolfo Rodríguez Saá",,,,,,,"Adolfo Rodríguez Saá","Адольфо Родрігес Саа","Adolfo Rodríguez Saá","罗德里格斯·萨阿",,,,"Adolfo Rodríguez Saá",,,"Adolfo Rodríguez Saá",,"Rodríguez","Rodríguez Saá","Адольфа Радрыгес Саа","Адольфа Радрыгес Саа","Autor:Adolfo Rodríguez Saá","Rodríguez Saá",,,,,
Q4122225,"José Alperovich","José Alperovich","José Alperovich","José Alperovich","José Alperovich","José Alperovich","José Alperovich","José Alperovich","José Alperovich","José Alperovich","José Alperovich","José Alperovich","José Alperovich","https://upload.wikimedia.org/wikipedia/commons/7/79/José_Alperovich.jpg",male,politician,1955-04-14,"José","José Alperovich",,,,,,"José Alperovich",,,,,,,,,,,,,,,,,"José Alperovich",,,,,,,,,,,,,,,,311119644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"José Alperovich","José Alperovich",,,,,,,,"José Alperovich",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q456351,"Julio Cobos","Julio Cobos","Julio Cobos","Julio Cobos","Julio Cobos","Julio Cobos","Julio Cobos","Julio Cobos","Julio Cobos","Julio Cobos","Julio Cobos","Julio Cobos","Julio Cobos",https://upload.wikimedia.org/wikipedia/commons/d/d1/Julio_Cobos.jpg,male,engineer,1955-04-30,Julio,"Julio Cobos",,,,,,"Julio Cobos",,"Julio Cobos",,"Julio Cobos",,,,"Julio Cobos",,,,"Julio Cobos","Julio Cobos",,"胡里奥·科沃斯",,,"Julio Cobos","Julio Cobos",,"Julio Cobos","Julio Cobos",,"Julio Cobos",,"Julio Cobos","Julio Cobos",,,,"Julio Cobos",,230700772,1018433929,,,,,,/m/0fgr9s,,,,,,,,,,,,,,,,"胡里奥·科沃斯","胡里奧·科沃斯","胡里奧·科沃斯","胡里奥·科沃斯","胡里奥·科沃斯","胡里奧·科沃斯",,"חוליו קובוס","훌리오 코보스",,,,,,,"خوليو كوبوس",,,,,,,,,,,,,"Julio Cobos",,,,,,"خوليو كوبوس",,,,"Julio Cobos","Categoría:Julio Cobos","Julio Cobos",,,,,,"חוליו קובוס",,,,,,,"훌리오 코보스",,,,,,,,,,,,"Julio Cobos",,,,,"胡里奥·科沃斯",,,,,,,,,,,,,,,,,,,
Q4678262,"Ada Itúrrez de Cappellini","Ada Itúrrez de Cappellini","Ada Itúrrez de Cappellini",,,,,"Ada Itúrrez de Cappellini","Ada Itúrrez de Cappellini","Ada Itúrrez de Cappellini","Ada Itúrrez de Cappellini","Ada Itúrrez de Cappellini","Ada Rosa del Valle Itúrrez de Cappellini","https://upload.wikimedia.org/wikipedia/commons/c/c5/Itúrrez_de_Cappellini.png",female,politician,1959-06-02,Ada,"Ada Itúrrez de Cappellini",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4685482,"Adriana Bortolozzi","Adriana Bortolozzi","Adriana Bortolozzi","Adriana Bortolozzi","Adriana Bortolozzi","Adriana Bortolozzi","Adriana Bortolozzi","Adriana Bortolozzi","Adriana Bortolozzi","Adriana Bortolozzi","Adriana Bortolozzi","Adriana Bortolozzi","Adriana Bortolozzi",,female,lawyer,1949-03-01,Adriana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4723820,"Alfredo Martínez","Alfredo Martínez","Alfredo Martínez","Alfredo Anselmo Martínez","Alfredo Anselmo Martínez","Alfredo Anselmo Martínez","Alfredo Anselmo Martínez","Alfredo Martínez","Alfredo Martínez","Alfredo Anselmo Martínez","Alfredo Martínez","Alfredo Martínez (politician)","Alfredo Anselmo Martínez",https://upload.wikimedia.org/wikipedia/commons/8/84/Alfredo_Martinez.jpg,male,politician,1951-09-06,Alfredo,"Alfredo Anselmo Martínez","Alfredo Martínez",http://www.freddymartinez.com.ar,,,,,"Alfredo Martínez",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4837851,"Lucía Corpacci","Lucía Corpacci","Lucía Corpacci","Lucía Corpacci","Lucía Corpacci","Lucía Corpacci","Lucía Corpacci","Lucía Corpacci","Lucía Corpacci","Lucía Corpacci","Lucía Corpacci","Lucía Corpacci","Lucía Corpacci","https://upload.wikimedia.org/wikipedia/commons/9/90/Lucía_Corpacci.jpg",female,surgeon,1958-12-04,"Lucía",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lucía Corpacci","Lucía Corpacci",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4838698,"Gerardo Zamora","Gerardo Zamora","Gerardo Zamora","Gerardo Zamora","Gerardo Zamora","Gerardo Zamora","Gerardo Zamora","Gerardo Zamora","Gerardo Zamora","Gerardo Zamora","Gerardo Zamora","Gerardo Zamora","Gerardo Zamora (político)",https://upload.wikimedia.org/wikipedia/commons/0/03/GerardoZamora2013.jpg,male,lawyer,1964-01-06,Gerardo,"Gerardo Zamora (político)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gerardo Zamora","Gerardo Zamora",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4924764,"Blanca Osuna","Blanca Osuna","Blanca Osuna","Blanca Inés Osuna","Blanca Inés Osuna","Blanca Inés Osuna","Blanca Inés Osuna","Blanca Osuna","Blanca Osuna","Blanca Osuna","Blanca Osuna","Blanca Osuna","Blanca Inés Osuna",,female,politician,1950-10-25,Blanca,,,,,,,"Blanca Osuna",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q508497,"Fernando Solanas","Pino Solanas","Pino Solanas","Fernando Solanas","Pino Solanas","Pino Solanas","Pino Solanas","Fernando Solanas","Fernando Ezequiel Solanas","Pino Solanas","Pino Solanas","Fernando Solanas","Pino Solanas","https://upload.wikimedia.org/wikipedia/commons/a/a0/Fernando_Solanas,_1985.jpg",male,"theatre director",1936-02-16,Fernando,"Fernando Solanas",,http://www.pinosolanas.com,fernandosolanas,,,"Fernando Ezequiel Solanas",,"Fernando Solanas","Соланас, Фернандо","Fernando ""Pino"" Solanas","Fernando Solanas","Фернандо Соланас","フェルナンド・E・ソラナス","Fernando Solanas","فرناندو سولاناس","Фернандо Соланас","Фернандо Соланас","Fernando Ezequiel Solanas","Fernando Ezequiel Solanas","Φερνάρντο Σολάνας","斐南多·索拉納斯","Фернандо Соланас","Category:Pino Solanas","Fernando Solanas","Pino Solanas","فرناندو سولاناس","Fernando Solanas","Fernando Ezequiel Solanas","フェルナンド・E・ソラナス","Fernando Ezequiel Solanas","Fernando Solanas","Fernando Solanas","Fernando Solanas","Fernando Solanas","Соланас, Фернандо","Фернандо Соланас",,"0000 0000 5937 4171",46957805,134980506,n87841107,14008827w,030867339,nm0812625,50c9f8cf-e02f-42c7-8de5-f9deba81e30e,/m/09_wn2,2784,00000021849,0063326,3751,1697351,p112063,228343,109527,145189,201000,37119,233442,8344,124539,797b2e4dfd7946b2b26c62ac4b62b8ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w6cc1w8r,000023712,,,
Q5218500,"Daniel Pérsico","Daniel Pérsico","Daniel Pérsico",,,,,"Daniel Pérsico","Daniel Pérsico","Daniel Pérsico","Daniel Pérsico","Daniel Pérsico",,https://upload.wikimedia.org/wikipedia/commons/2/28/Daniel_Persico.png,male,politician,1961-10-31,Daniel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5386230,"Eric Calcagno","Eric Calcagno","Eric Calcagno","Eric Calcagno","Eric Calcagno","Eric Calcagno","Eric Calcagno","Eric Calcagno","Eric Calcagno","Eric Calcagno","Eric Calcagno","Eric Calcagno","Eric Calcagno",https://upload.wikimedia.org/wikipedia/commons/0/0a/Calcagno_Eric.jpg,male,economist,1967-04-09,Eric,,"Eric Calcagno",,,,,"Eric Calcagno","Eric Calcagno","Eric Calcagno",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78420089,131585991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5427799,"Fabio Biancalani","Fabio Biancalani","Fabio Biancalani","Fabio Biancalani","Fabio Biancalani","Fabio Biancalani","Fabio Biancalani","Fabio Biancalani","Fabio Biancalani","Fabio Biancalani","Fabio Biancalani","Fabio Biancalani",,,male,politician,,Fabio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5857789,"Federico Pinedo","Federico Pinedo","Federico Pinedo",,,,,"Federico Pinedo","Federico Pinedo","Federico Pinedo","Federico Pinedo","Federico Pinedo","Federico Pinedo (bisnieto)",https://upload.wikimedia.org/wikipedia/commons/5/52/Fpinedo.jpg,male,politician,1955-12-29,Federico,"Federico Pinedo (bisnieto)",,,,,,"Federico Pinedo",,,,,,,,,,,,,,,,,,,,,"Federico Pinedo","Federico Pinedo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"فيديريكو بينيدو",,,,,,,,,,,,,,,,,,,"فيديريكو بينيدو",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Autor:Federico Pinedo (bisnieto)",,,,,,
Q591796,"Ángel Rozas","Ángel Rozas","Ángel Rozas","Ángel Rozas","Ángel Rozas","Ángel Rozas","Ángel Rozas","Ángel Rozas","Ángel Rozas","Ángel Rozas","Ángel Rozas","Ángel Rozas","Ángel Rozas",https://upload.wikimedia.org/wikipedia/commons/5/50/Angel_Rozas.JPG,male,lawyer,1950-03-22,"Ángel","Ángel Rozas","Ángel Rozas",,,,,,"Ángel Rozas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5925147,"Jaime Linares","Jaime Linares","Jaime Linares",,,,,"Jaime Linares","Jaime Linares","Jaime Linares","Jaime Linares",,"Jaime Linares (político)",https://upload.wikimedia.org/wikipedia/commons/4/4c/JaimeLinares.jpg,male,politician,1951-03-03,Jaime,"Jaime Linares (político)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5934565,"Jorge Banicevich","Jorge Banicevich","Jorge Banicevich","Jorge Banicevich","Jorge Banicevich","Jorge Banicevich","Jorge Banicevich","Jorge Banicevich","Jorge Banicevich","Jorge Banicevich","Jorge Banicevich","Jorge Banicevich","Jorge Banicevich",,male,politician,1945-09-21,Jorge,,"Jorge Banicevich",,,,,"Jorge Banicevich","Jorge Banicevich","Jorge Banicevich",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5948411,"Juan Carlos Marino","Juan Carlos Marino","Juan Carlos Marino","Juan Carlos Marino","Juan Carlos Marino","Juan Carlos Marino","Juan Carlos Marino","Juan Carlos Marino","Juan Carlos Marino","Juan Carlos Marino","Juan Carlos Marino","Juan Carlos Marino (Argentine politician)","Juan Carlos Marino",https://upload.wikimedia.org/wikipedia/commons/f/f5/Juan_Carlos_Marino.jpg,male,politician,1963-10-23,Juan,"Juan Carlos Marino","Juan Carlos Marino",,,,,"Juan Carlos Marino","Juan Carlos Marino","Juan Carlos Marino",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5955126,"Julio César Catalán Magni","Julio César Catalán Magni","Julio César Catalán Magni","Julio César Catalán Magni","Julio César Catalán Magni","Julio César Catalán Magni","Julio César Catalán Magni","Julio César Catalán Magni","Julio César Catalán Magni","Julio César Catalán Magni","Julio César Catalán Magni",,"Julio Catalán Magni","https://upload.wikimedia.org/wikipedia/commons/d/d3/Julio_Catalán_Magni.png",male,"racing driver",1968-08-14,Julio,"Julio César Catalán Magni","Julio César Catalán Magni",,,,,,"Julio César Catalán Magni",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6003917,"María Inés Pilatti Vergara","María Inés Pilatti Vergara","María Inés Pilatti Vergara","María Inés Pilatti Vergara","María Inés Pilatti Vergara","María Inés Pilatti Vergara","María Inés Pilatti Vergara","María Inés Pilatti Vergara","María Inés Pilatti Vergara","María Inés Pilatti Vergara","María Inés Pilatti Vergara",,"María Inés Pilatti Vergara",,female,lawyer,1965-08-02,"María","María Inés Pilatti Vergara",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6068353,"Pedro Braillard Poccard","Pedro Braillard Poccard",,"Pedro Braillard Poccard","Pedro Braillard Poccard","Pedro Braillard Poccard","Pedro Braillard Poccard","Pedro Braillard Poccard","Pedro Braillard Poccard",,"Pedro Braillard Poccard",,"Pedro Braillard Poccard","https://upload.wikimedia.org/wikipedia/commons/d/dc/Néstor_Pedro_Braillard_Poccard,_Vicegobernador.jpg",male,lawyer,1954-04-08,Pedro,"Pedro Braillard Poccard",,,,,,"Pedro Braillard Poccard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6069019,"Pedro Guillermo Ángel Guastavino","Pedro Guillermo Ángel Guastavino","Pedro Guillermo Ángel Guastavino","Pedro Guillermo Ángel Guastavino","Pedro Guillermo Ángel Guastavino","Pedro Guillermo Ángel Guastavino","Pedro Guillermo Ángel Guastavino","Pedro Guillermo Ángel Guastavino","Pedro Guillermo Ángel Guastavino","Pedro Guillermo Ángel Guastavino","Pedro Guillermo Ángel Guastavino","Pedro Guastavino","Pedro Guillermo Ángel Guastavino",https://upload.wikimedia.org/wikipedia/commons/b/b1/Pedro_Guastavino.png,male,politician,1954-07-01,Pedro,"Pedro Guillermo Ángel Guastavino","Pedro Guillermo Ángel Guastavino",,,,,"Pedro Guillermo Ángel Guastavino","Pedro Guillermo Ángel Guastavino","Pedro Guillermo Ángel Guastavino",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6113696,"Ruperto Eduardo Godoy","Ruperto Eduardo Godoy","Ruperto Eduardo Godoy","Ruperto Eduardo Godoy","Ruperto Eduardo Godoy","Ruperto Eduardo Godoy","Ruperto Eduardo Godoy","Ruperto Eduardo Godoy","Ruperto Eduardo Godoy","Ruperto Eduardo Godoy","Ruperto Eduardo Godoy",,"Ruperto Eduardo Godoy",https://upload.wikimedia.org/wikipedia/commons/5/54/Ruperto_E._Godoy.jpg,male,politician,1953-03-13,,"Ruperto Eduardo Godoy","Ruperto Eduardo Godoy",,,,,"Ruperto Eduardo Godoy","Ruperto Eduardo Godoy","Ruperto Eduardo Godoy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6293394,"José Mayans","José Miguel Ángel Mayans","José Mayans",,,,,"José Mayans","José Mayans","José Miguel Ángel Mayans","José Miguel Ángel Mayans","José Mayans",,,male,politician,,"José",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6299395,"Juan Carlos Romero","Juan Carlos Romero","Juan Carlos Romero","Juan Carlos Romero","Juan Carlos Romero","Juan Carlos Romero","Juan Carlos Romero","Juan Carlos Romero","Juan Carlos Romero","Juan Carlos Romero","Juan Carlos Romero","Juan Carlos Romero (politician)","Juan Carlos Romero (político argentino)",https://upload.wikimedia.org/wikipedia/commons/6/6a/Dr._Juan_Carlos_Romero.png,male,politician,1950-11-16,Juan,"Juan Carlos Romero (político argentino)","Juan Carlos Romero",http://www.romerojuancarlos.com.ar/,romeroxsalta,RomeroxSalta,,"Juan Carlos Romero","Juan Carlos Romero","Juan Carlos Romero","Хуан Карлос Ромеро",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/m/056698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6389305,"María José Bongiorno","María José Bongiorno","María José Bongiorno","María José Bongiorno","María José Bongiorno","María José Bongiorno","María José Bongiorno","María José Bongiorno","María José Bongiorno","María José Bongiorno","María José Bongiorno","María José Bongiorno","María José Bongiorno",,female,politician,,"María",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6547740,"Liliana Fellner","Liliana Fellner","Liliana Fellner","Liliana Fellner","Liliana Fellner","Liliana Fellner","Liliana Fellner","Liliana Fellner","Liliana Fellner","Liliana Fellner","Liliana Fellner","Liliana Fellner","Liliana Fellner",https://upload.wikimedia.org/wikipedia/commons/3/31/LilianaFellner.jpg,female,politician,1957-02-28,Liliana,"Liliana Fellner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6547754,"Liliana Negre de Alonso","Liliana Negre de Alonso","Liliana Negre de Alonso",,,,,"Liliana Negre de Alonso","Liliana Negre de Alonso","Liliana Negre de Alonso","Liliana Negre de Alonso","Liliana Negre de Alonso","Liliana Negre de Alonso",https://upload.wikimedia.org/wikipedia/commons/b/b9/LilianaNegreDeAlonso.jpg,female,politician,1954-05-18,Liliana,"Liliana Negre de Alonso",,,,,,,,,,,,,,,,,,,,,"莉莉安娜·內格雷·德·阿隆索",,,,,,,,,,,,,,,,,"0000 0000 7983 9773",14082203,1056239050,n98026799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6700989,"Luis Petcoff Naidenoff","Luis Petcoff Naidenoff","Luis Petcoff Naidenoff","Luis Petcoff Naidenoff","Luis Petcoff Naidenoff","Luis Petcoff Naidenoff","Luis Petcoff Naidenoff","Luis Petcoff Naidenoff","Luis Petcoff Naidenoff","Luis Petcoff Naidenoff","Luis Petcoff Naidenoff","Luis Petcoff Naidenoff","Luis Petcoff Naidenoff",https://upload.wikimedia.org/wikipedia/commons/7/75/Luis_Carlos_Petcoff_Naidenoff.png,male,lawyer,1967-07-13,Luis,"Luis Petcoff Naidenoff","Luis Petcoff Naidenoff",,,,,"Luis Petcoff Naidenoff","Luis Petcoff Naidenoff","Luis Petcoff Naidenoff",,,,,,,,,,,,,"路易斯·佩特科夫·內汀諾夫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
