id,name__fr,name__nb,name__da,name__nn,name__sv,name__en,name__nl,name,wikipedia__fr,image,gender,identifier__VIAF,identifier__BNF,birth_date,family_name,given_name,identifier__sycomore,twitter,original_wikiname,name__en_ca,name__en_gb,name__es,name__de,name__ca,name__oc,name__it,name__hu,wikipedia__en,wikipedia__oc,facebook,name__tr,wikipedia__de,wikipedia__tr,identifier__SUDOC,identifier__freebase,name__pl,name__ro,wikipedia__pl,wikipedia__ro,website,identifier__EuroparlMEP,name__la,wikipedia__ca,wikipedia__it,wikipedia__la,name__ru,name__el,identifier__ISNI,name__pt,name__mk,name__eo,name__uk,name__zh,wikipedia__commons,wikipedia__el,wikipedia__eo,wikipedia__frwikiquote,wikipedia__pt,wikipedia__uk,wikipedia__zh,identifier__GND,identifier__LCAuth,name__lb,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ja,name__vi,name__hr,name__ar,wikipedia__ar,wikipedia__da,wikipedia__es,wikipedia__hr,wikipedia__ja,wikipedia__lb,wikipedia__vi,identifier__IMDB,name__mg,wikipedia__mg,name__de_ch,name__br,wikipedia__br,wikipedia__ru,name__eu,name__he,name__yo,name__ms,name__et,name__id,name__ckb,name__fi,name__mr,name__fa,name__bg,name__io,name__lt,name__be,name__cs,name__sco,name__cy,name__hy,name__ie,name__ko,wikipedia__bg,wikipedia__ckb,wikipedia__cs,wikipedia__cy,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__frwikinews,wikipedia__he,wikipedia__hu,wikipedia__hy,wikipedia__id,wikipedia__ie,wikipedia__io,wikipedia__itwikiquote,wikipedia__ko,wikipedia__lt,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__no,wikipedia__plwikiquote,wikipedia__ruwikinews,wikipedia__sco,wikipedia__sv,wikipedia__yo,identifier__AlloCine,identifier__Munzinger,identifier__GNC,identifier__FAST,death_date,name__mwl,wikipedia__mwl,identifier__MusicBrainz,identifier__NTA,name__af,name__an,name__ast,name__bar,name__co,name__de_at,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__ia,name__is,name__kg,name__li,name__lij,name__min,name__nap,name__nds,name__nds_nl,name__nrm,name__pcd,name__pms,name__pt_br,name__rm,name__sc,name__scn,name__sk,name__sl,name__sr_el,name__sw,name__vec,name__vls,name__vo,name__wa,name__wo,name__zu,instagram,wikipedia__simple,name__ta,wikipedia__ta,wikipedia__nrm,identifier__senatDOTfr,wikipedia__cswikiquote,linkedin,identifier__PACE,name__mn,wikipedia__mn,identifier__CANTIC,name__kw,name__sr_ec,name__sh,name__hi,name__th,name__km,name__ka,name__sr,name__sq,name__lv,wikipedia__af,wikipedia__als,wikipedia__ast,wikipedia__be,wikipedia__enwikinews,wikipedia__frp,wikipedia__frwikisource,wikipedia__ga,wikipedia__gl,wikipedia__hi,wikipedia__ka,wikipedia__km,wikipedia__kw,wikipedia__lv,wikipedia__mk,wikipedia__nds,wikipedia__nn,wikipedia__sh,wikipedia__sk,wikipedia__sq,wikipedia__sr,wikipedia__th,name__gv,wikipedia__gv,name__be_tarask,wikipedia__be_x_old,identifier__PTBNP,wikipedia__sl,identifier__parlement,name__bs,name__ceb,name__lmo,name__bo,name__mzn,name__nov,name__pih,wikipedia__bo,wikipedia__ia,wikipedia__mzn,wikipedia__ruwikiquote,name__szl,wikipedia__szl,name__az,wikipedia__az,wikipedia__trwikiquote,wikipedia__is,identifier__Britannica,identifier__GTAA,name__ty,wikipedia__ty,identifier__SBN_it,identifier__kinopoisk,identifier__NLA,wikipedia__bs,name__arz,name__bcl,name__bn,name__dsb,name__ext,name__fy,name__hsb,name__jv,name__kk,name__kn,name__lad,name__my,name__pam,name__qu,name__se,name__so,name__tl,name__tt,name__uz,name__vep,name__war,name__xmf,name__yi,name__ku,name__mt,name__pa,name__ln,name__hak,name__eml,name__yue,name__ne,name__kab,name__fo,name__ml,name__ur,name__ce,name__av,wikipedia__an,wikipedia__arz,wikipedia__av,wikipedia__bcl,wikipedia__bn,wikipedia__cawikinews,wikipedia__ce,wikipedia__co,wikipedia__dsb,wikipedia__elwikiquote,wikipedia__eml,wikipedia__enwikiquote,wikipedia__enwikisource,wikipedia__eowikinews,wikipedia__ext,wikipedia__fo,wikipedia__fy,wikipedia__gd,wikipedia__hak,wikipedia__hewikiquote,wikipedia__hsb,wikipedia__jv,wikipedia__kab,wikipedia__kg,wikipedia__kk,wikipedia__kn,wikipedia__ku,wikipedia__lad,wikipedia__lmo,wikipedia__ln,wikipedia__ml,wikipedia__mt,wikipedia__my,wikipedia__nlwikiquote,wikipedia__pam,wikipedia__pa,wikipedia__ptwikinews,wikipedia__qu,wikipedia__scn,wikipedia__se,wikipedia__so,wikipedia__tl,wikipedia__tt,wikipedia__ur,wikipedia__uz,wikipedia__vec,wikipedia__vep,wikipedia__war,wikipedia__xmf,wikipedia__yi,wikipedia__zh_yue,identifier__CiNii,identifier__BNE,identifier__BIBSYS,name__rw,wikipedia__rw,name__xh,name__tw,wikipedia__ceb,wikipedia__pcd,wikipedia__tw,wikipedia__xh,wikipedia__pms,identifier__ULAN,identifier__NDL,wikipedia__eswikiquote,name__bm,name__frc,name__jam,name__pap,name__prg,name__rgn,name__vmf,wikipedia__zh_min_nan,name__nan,name__kl,wikipedia__ptwikiquote,wikipedia__dewikinews,identifier__NNDB,identifier__CSPAN,name__ug,name__wuu,wikipedia__arwikiquote,wikipedia__ug,wikipedia__wuu,identifier__NKC,identifier__IIAF,wikipedia__fawikiquote,identifier__CSFD,identifier__bigenc_ru,identifier__OLID,wikipedia__azb,identifier__google_knowledge,identifier__guardian_topic,name__azb
Q3168176,Jean-Michel Villaumé,Jean-Michel Villaumé,Jean-Michel Villaumé,Jean-Michel Villaumé,Jean-Michel Villaumé,Jean-Michel Villaumé,Jean-Michel Villaumé,Jean-Michel Villaumé,Jean-Michel Villaumé,https://upload.wikimedia.org/wikipedia/commons/a/a9/J-Michel_Villaumé_old.jpg,male,,,1946-03-27,,Jean-Michel,17386,jmvillaume,Jean-Michel Villaumé,,,,,,,,Jean-Michel Villaumé,Jean-Michel Villaumé,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Jean-Michel Villaumé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3168334,Jean-Paul Anciaux,Jean-Paul Anciaux,Jean-Paul Anciaux,Jean-Paul Anciaux,Jean-Paul Anciaux,Jean-Paul Anciaux,Jean-Paul Anciaux,Jean-Paul Anciaux,Jean-Paul Anciaux,https://upload.wikimedia.org/wikipedia/commons/8/8b/Jean_Paul_Anciaux.JPG,male,217223535,15047401t,1946-07-17,,Jean-Paul,123,,Jean-Paul Anciaux,,,Jean-Paul Anciaux,,,,,Jean-Paul Anciaux,Jean-Paul Anciaux,,,,,,079243800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3168350,Jean-Paul Bacquet,Jean-Paul Bacquet,Jean-Paul Bacquet,Jean-Paul Bacquet,Jean-Paul Bacquet,Jean-Paul Bacquet,Jean-Paul Bacquet,Jean-Paul Bacquet,Jean-Paul Bacquet,,male,27170774,12498179g,1949-03-11,,Jean-Paul,321,jpbacquet,Jean-Paul Bacquet,,,Jean-Paul Bacquet,,,,,Jean-Paul Bacquet,Jean-Paul Bacquet,,,,,,034199276,/m/04z_0zy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3168410,Jean-Paul Chanteguet,Jean-Paul Chanteguet,Jean-Paul Chanteguet,Jean-Paul Chanteguet,Jean-Paul Chanteguet,Jean-Paul Chanteguet,Jean-Paul Chanteguet,Jean-Paul Chanteguet,Jean-Paul Chanteguet,,male,,,1949-12-09,,Jean-Paul,1642,,Jean-Paul Chanteguet,,,Jean-Paul Chanteguet,,,,,Jean-Paul Chanteguet,Jean-Paul Chanteguet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3168412,Jean-Paul Charié,Jean-Paul Charié,Jean-Paul Charié,Jean-Paul Charié,Jean-Paul Charié,Jean-Paul Charié,Jean-Paul Charié,Jean-Paul Charié,Jean-Paul Charié,,male,266391159,12365343h,1952-04-25,,Jean-Paul,1658,,Jean-Paul Charié,,,Jean-Paul Charié,,,,,Jean-Paul Charié,Jean-Paul Charié,,,,,,032667515,,,,,,,,,,,,,,0000 0003 8290 4099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jean-Paul Charié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3168702,Jean-Paul Tuaiva,Jean-Paul Tuaiva,Jean-Paul Tuaiva,Jean-Paul Tuaiva,Jean-Paul Tuaiva,Jean-Paul Tuaiva,,Jean-Paul Tuaiva,Jean-Paul Tuaiva,,male,,,1972-10-30,,Jean-Paul,,,Jean-Paul Tuaiva,,,,,,,,Jean-Paul Tuaiva,,,jeanpaul.tuaiva.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3168838,Jean-Philippe Maurer,Jean-Philippe Maurer,Jean-Philippe Maurer,Jean-Philippe Maurer,Jean-Philippe Maurer,Jean-Philippe Maurer,Jean-Philippe Maurer,Jean-Philippe Maurer,Jean-Philippe Maurer,https://upload.wikimedia.org/wikipedia/commons/e/ee/Jean-Philippe_Maurer_en_septembre_2013_nb.jpg,male,232093628,16573239m,1960-07-07,,Jean-Philippe,17355,,Jean-Philippe Maurer,,,Jean-Philippe Maurer,,,,,Jean-Philippe Maurer,Jean-Philippe Maurer,,,,,,176292861,,,,,,,,,,,,,,0000 0003 6673 0359,,,,,,Category:Jean-Philippe Maurer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3168928,Jean-Pierre Allossery,Jean-Pierre Allossery,Jean-Pierre Allossery,Jean-Pierre Allossery,Jean-Pierre Allossery,Jean-Pierre Allossery,,Jean-Pierre Allossery,Jean-Pierre Allossery,,male,,,1945-07-31,,Jean-Pierre,18334,,Jean-Pierre Allossery,,,,,,,,Jean-Pierre Allossery,,,,,,,,,,,,,,,,,,,"Аллоссери, Жан-Пьер",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Аллоссери, Жан-Пьер",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3168971,Jean-Pierre Barbier,Jean-Pierre Barbier,Jean-Pierre Barbier,Jean-Pierre Barbier,Jean-Pierre Barbier,Jean-Pierre Barbier,Jean-Pierre Barbier,Jean-Pierre Barbier,Jean-Pierre Barbier,,male,,,1960-11-11,Barbier,Jean-Pierre,18347,JPBARBIERISERE,Jean-Pierre Barbier,,,,Jean-Pierre Barbier,,,,Jean-Pierre Barbier,,,,,Jean-Pierre Barbier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3169073,Jean-Pierre Brard,Jean-Pierre Brard,Jean-Pierre Brard,Jean-Pierre Brard,Jean-Pierre Brard,Jean-Pierre Brard,Jean-Pierre Brard,Jean-Pierre Brard,Jean-Pierre Brard,,male,29629102,12454329p,1948-02-07,,Jean-Pierre,1180,,Jean-Pierre Brard,,,Jean-Pierre Brard,,,,,Jean-Pierre Brard,Jean-Pierre Brard,,,,,,033702926,,,,,,,,,,,,,Ζαν-Πιέρ Μπραρ,0000 0000 3541 4992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3169178,Jean-Pierre Decool,Jean-Pierre Decool,Jean-Pierre Decool,Jean-Pierre Decool,Jean-Pierre Decool,Jean-Pierre Decool,Jean-Pierre Decool,Jean-Pierre Decool,Jean-Pierre Decool,,male,,,1952-10-19,,Jean-Pierre,10658,jpdecool,Jean-Pierre Decool,,,Jean-Pierre Decool,,,,,Jean-Pierre Decool,Jean-Pierre Decool,,,,,,,/m/04zyzwq,,,,,,,,,,,"Декуль, Жан-Пьер",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Декуль, Жан-Пьер",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3169180,Jean-Pierre Defontaine,Jean-Pierre Defontaine,Jean-Pierre Defontaine,Jean-Pierre Defontaine,Jean-Pierre Defontaine,Jean-Pierre Defontaine,,Jean-Pierre Defontaine,Jean-Pierre Defontaine,,male,,,1937-02-04,,Jean-Pierre,2218,,Jean-Pierre Defontaine,,,,,,,,Jean-Pierre Defontaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3169226,Jean-Pierre Door,Jean-Pierre Door,Jean-Pierre Door,Jean-Pierre Door,Jean-Pierre Door,Jean-Pierre Door,Jean-Pierre Door,Jean-Pierre Door,Jean-Pierre Door,https://upload.wikimedia.org/wikipedia/commons/9/96/Jean-Pierre_Door.JPG,male,74096127,14571884b,1942-04-01,,Jean-Pierre,10666,doorjean,Jean-Pierre Door,,,Jean-Pierre Door,,,,,Jean-Pierre Door,Jean-Pierre Door,,,,,,069299706,/m/04z_g5t,,,,,http://jeanpierredoor.over-blog.com/,,,,,,,,0000 0000 0143 7029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3169237,Jean-Pierre Dufau,Jean-Pierre Dufau,Jean-Pierre Dufau,Jean-Pierre Dufau,Jean-Pierre Dufau,Jean-Pierre Dufau,Jean-Pierre Dufau,Jean-Pierre Dufau,Jean-Pierre Dufau,https://upload.wikimedia.org/wikipedia/commons/4/42/Photo_de_Jean-Pierre_DUFAU.jpg,male,264076373,13545847b,1943-07-05,,Jean-Pierre,2664,jpdufau,Jean-Pierre Dufau,,,,,,,,Jean-Pierre Dufau,Jean-Pierre Dufau,,,,,,05077767X,/m/04zzr4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3169366,Jean-Pierre Grand,Jean-Pierre Grand,Jean-Pierre Grand,Jean-Pierre Grand,Jean-Pierre Grand,Jean-Pierre Grand,Jean-Pierre Grand,Jean-Pierre Grand,Jean-Pierre Grand,,male,215003175,165530714,1950-11-18,,Jean-Pierre,10688,,Jean-Pierre Grand,,,Jean-Pierre Grand,,,,,Jean-Pierre Grand,Jean-Pierre Grand,,,Jean-Pierre Grand,,Jean-Pierre Grand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,senateur/grand_jean_pierre14211g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3169488,Jean-Pierre Le Ridant,Jean-Pierre Le Ridant,Jean-Pierre Le Ridant,Jean-Pierre Le Ridant,Jean-Pierre Le Ridant,Jean-Pierre Le Ridant,,Jean-Pierre Le Ridant,Jean-Pierre Le Ridant,,male,,,1948-02-04,,Jean-Pierre,10715,,Jean-Pierre Le Ridant,,,,,,,,Jean-Pierre Le Ridant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3169756,Jean-Pierre Schosteck,Jean-Pierre Schosteck,Jean-Pierre Schosteck,Jean-Pierre Schosteck,Jean-Pierre Schosteck,Jean-Pierre Schosteck,Jean-Pierre Schosteck,Jean-Pierre Schosteck,Jean-Pierre Schosteck,,male,19896798,14420537j,1942-03-16,,Jean-Pierre,17424,,Jean-Pierre Schosteck,,,Jean-Pierre Schosteck,,,,Jean-Pierre Schosteck,Jean-Pierre Schosteck,Jean-Pierre Schosteck,,,,,,05885987X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,senateur/schosteck_jean_pierre93005r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3169815,Jean-Pierre Vigier,Jean-Pierre Vigier,Jean-Pierre Vigier,Jean-Pierre Vigier,Jean-Pierre Vigier,Jean-Pierre Vigier,,Jean-Pierre Vigier,Jean-Pierre Vigier (homme politique),,male,,,1969-10-22,Vigier,Jean-Pierre,18544,J_PVigier,Jean-Pierre Vigier (homme politique),,,,,,,,Jean-Pierre Vigier,,,1413258195581316,,,,,,,,,,http://www.jpvigier.fr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
