id,name__da,name__pl,name__nb,name__en,name__fr,name__de,name__fo,name__is,name__kl,name__nn,name__sv,name__nl,name__es,name__hu,name,wikipedia__commons,wikipedia__da,wikipedia__de,wikipedia__en,wikipedia__fr,wikipedia__no,wikipedia__pl,image,gender,occupation,identifier__VIAF,identifier__GND,birth_date,identifier__freebase,given_name,website,identifier__EuroparlMEP,weblog,twitter,original_wikiname,name__it,name__ru,instagram,facebook,name__id,wikipedia__id,wikipedia__sv,name__nds,name__lb,name__zh,name__he,name__ko,name__be,name__ta,name__oc,name__ms,name__lv,name__gl,name__et,name__ja,name__br,name__el,name__vi,name__sh,name__ar,name__pt,name__eo,name__tr,name__ro,name__se,name__ca,name__fi,name__uk,name__be_tarask,name__cs,name__io,name__fa,name__az,name__lt,name__pt_br,name__cy,name__de_ch,name__en_ca,name__en_gb,name__sr,name__lmo,name__sco,name__arz,name__ie,name__la,name__sk,name__hy,name__th,wikipedia__ar,wikipedia__arz,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__br,wikipedia__ca,wikipedia__cs,wikipedia__cy,wikipedia__dawikiquote,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__fo,wikipedia__gl,wikipedia__he,wikipedia__hu,wikipedia__hy,wikipedia__ie,wikipedia__io,wikipedia__is,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__lmo,wikipedia__lt,wikipedia__lv,wikipedia__ms,wikipedia__nds,wikipedia__nl,wikipedia__nn,wikipedia__oc,wikipedia__plwikiquote,wikipedia__pt,wikipedia__ro,wikipedia__ru,wikipedia__sco,wikipedia__se,wikipedia__sh,wikipedia__simple,wikipedia__sk,wikipedia__sr,wikipedia__ta,wikipedia__th,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__zh,identifier__LCAuth,identifier__IMDB,identifier__NNDB,identifier__Munzinger,identifier__parlement,identifier__quora,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,family_name,identifier__IIAF,death_date,identifier__ISNI,identifier__BNF,identifier__SUDOC,identifier__FAST,identifier__PACE,identifier__OLID,identifier__BIBSYS,identifier__SELIBR,name__ka,identifier__NTA,wikipedia__dewikiquote,wikipedia__fiwikiquote,name__sl,wikipedia__sl,identifier__snac,identifier__google_knowledge,name__ia,wikipedia__ia,wikipedia__kl,identifier__MusicBrainz,name__sq,wikipedia__sq,linkedin,name__sr_el,name__sr_ec,identifier__NLI,wikipedia__eswikiquote,name__bar,name__fit,identifier__google_scholar,identifier__discogs,wikipedia__ukwikiquote,identifier__allmovie,identifier__SFDb,identifier__SCOPE,identifier__kinopoisk,identifier__DNF,identifier__ne_se,name__de_at,name__gsw,wikipedia__cswikiquote,wikipedia__svwikiquote,name__jv,name__qu,name__yo,name__eu,name__hsb,name__bg,wikipedia__bg,wikipedia__enwikiquote,wikipedia__eu,wikipedia__hsb,wikipedia__itwikiquote,wikipedia__jv,wikipedia__ka,wikipedia__qu,wikipedia__yo,identifier__GTAA,identifier__nlg,political_alignment,wikipedia__frwikiquote,identifier__PORT,identifier__CSFD,name__bs,name__bn,name__ga,name__ast,name__hr,name__an,name__ku,name__mr,name__vro,name__tt,name__ba,name__ne,name__mg,wikipedia__an,wikipedia__ast,wikipedia__bn,wikipedia__bs,wikipedia__dewikinews,wikipedia__fawikiquote,wikipedia__fiu_vro,wikipedia__ga,wikipedia__hr,wikipedia__ku,wikipedia__mg,wikipedia__mr,wikipedia__ruwikinews,wikipedia__srwikinews,wikipedia__trwikinews,wikipedia__tt,identifier__GNC,name__ur,wikipedia__ur,wikipedia__nowikiquote,wikipedia__dawikisource
Q12312681,"Frederik Nørgaard",,,"Frederik Nørgaard","Frederik Nørgaard",,,,,,,,,,"Frederik Nørgaard",,"Frederik Nørgaard (politiker)",,,,,,,male,,,,1940-08-04,,Frederik,,,,,"Frederik Nørgaard (politiker)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12314298,"Grete Schødts",,,"Grete Schødts","Grete Schødts",,,,,,,,,,"Grete Schødts",,"Grete Schødts",,,,,,,female,,,,1945-12-11,,Grete,,,,,"Grete Schødts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12314541,"Gudrun Laub",,"Gudrun Laub","Gudrun Laub","Gudrun Laub","Gudrun Laub","Gudrun Laub","Gudrun Laub","Gudrun Laub","Gudrun Laub","Gudrun Laub","Gudrun Laub",,,"Gudrun Laub",,"Gudrun Laub",,,,,,,female,politician,,,1941-11-28,,Gudrun,,,,,"Gudrun Laub","Gudrun Laub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12314710,"Gyda Kongsted",,,"Gyda Kongsted","Gyda Kongsted",,,,,,,,,,"Gyda Kongsted",,"Gyda Kongsted",,,,,,,female,,,,1942-05-23,,,,,,,"Gyda Kongsted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12314865,"H.P. Clausen",,"H.P. Clausen","H. P. Clausen","Hans Peter Clausen",,,,,,,"H. P. Clausen",,,"H.P. Clausen",,"H.P. Clausen",,,"Hans Peter Clausen","H.P. Clausen",,,male,politician,,,1928-01-31,,Hans,,,,,"H.P. Clausen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12315171,"Hanne Agersnap",,"Hanne Agersnap","Hanne Agersnap","Hanne Agersnap","Hanne Agersnap","Hanne Agersnap","Hanne Agersnap","Hanne Agersnap","Hanne Agersnap","Hanne Agersnap","Hanne Agersnap",,,"Hanne Agersnap","Category:Hanne Agersnap","Hanne Agersnap",,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f2/Hanne_Agersnap.jpg,female,politician,,,1960-09-05,,Hanne,,,,HanneAgersnap,"Hanne Agersnap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12315172,"Hanne Andersen",,,"Hanne Andersen","Hanne Andersen",,,,,,,,,,"Hanne Andersen",,"Hanne Andersen",,,,,,,female,,,,1939-04-02,,Hanne,,,,,"Hanne Andersen","Hanne Andersen","Ханне Андерсен",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12315227,"Hans Andersen",,"Hans Andersen","Hans Andersen","Hans Andersen","Hans Andersen","Hans Andersen","Hans Andersen","Hans Andersen","Hans Andersen","Hans Andersen","Hans Andersen",,,"Hans Andersen",,"Hans Andersen (politiker)",,,,,,,male,politician,,,1974-11-01,,Hans,,,,,"Hans Andersen (politiker)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12315278,"Hans Christian Thoning",,,"Hans Christian Thoning","Hans Christian Thoning","Hans Christian Thoning",,,,,,,,,"Hans Christian Thoning",,"Hans Christian Thoning",,,,,,,male,,,,1952-02-20,,Hans,,,,,"Hans Christian Thoning","Hans Christian Thoning",,,,,,,"Hans Christian Thoning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12315427,"Hans Jørgen Jensen",,,"Hans Jørgen Jensen","Hans Jørgen Jensen",,,,,,,,,,"Hans Jørgen Jensen",,"Hans Jørgen Jensen (politiker)",,,,,,,male,,,,1929-03-26,,Hans,,,,,"Hans Jørgen Jensen (politiker)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12315455,"Hans Kristian Skibby",,"Hans Kristian Skibby","Hans Kristian Skibby","Hans Kristian Skibby","Hans Kristian Skibby","Hans Kristian Skibby","Hans Kristian Skibby","Hans Kristian Skibby","Hans Kristian Skibby","Hans Kristian Skibby",,,,"Hans Kristian Skibby",,"Hans Kristian Skibby",,,,,,,male,,,,1969-01-18,,Hans,,,,BundgaardSkibby,"Hans Kristian Skibby",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12315498,"Hans Peter Baadsgaard",,,"Hans Peter Baadsgaard","Hans Peter Baadsgaard",,,,,,,,,,"Hans Peter Baadsgaard",,"Hans Peter Baadsgaard",,,,,,,male,,,,1937-11-27,,Hans,,,,,"Hans Peter Baadsgaard","Hans Peter Baadsgaard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12315583,"Hans Vestager",,"Hans Vestager","Hans Vestager","Hans Vestager","Hans Vestager","Hans Vestager","Hans Vestager","Hans Vestager","Hans Vestager","Hans Vestager",,"Hans Vestager",,"Hans Vestager",,"Hans Vestager",,,,,,,male,,,,1945-04-03,,Hans,http://www.ft.dk/folketinget/findmedlem/rvhave.aspx,,,,"Hans Vestager","Hans Vestager","Ханс Вестагер",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hans Vestager",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12315714,"Hardy Hansen",,,"Hardy Hansen","Hardy Hansen",,,,,,,,,,"Hardy Hansen",,"Hardy Hansen",,,,,,,male,,,,1933-09-26,,Hardy,,,,,"Hardy Hansen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12315989,"Helen Beim",,,"Helen Beim","Helen Beim",,,,,,,"Helen Beim",,,"Helen Beim",,"Helen Beim",,,,,,,female,politician,,,1943-04-24,,Helen,,,,,"Helen Beim","Helen Beim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12316006,"Helga Moos",,,"Helga Moos","Helga Moos",,,,,,,,,,"Helga Moos",,"Helga Moos",,,,,,,female,,,,1951-07-26,,Helga,,,,,"Helga Moos","Helga Moos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12316008,"Helge Adam Møller",,"Helge Adam Møller","Helge Adam Møller","Helge Adam Møller",,,,,,,"Helge Adam Møller",,,"Helge Adam Møller",,"Helge Adam Møller",,,,"Helge Adam Møller",,,male,politician,,,1942-11-06,,Helge,,,,,"Helge Adam Møller",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12316018,"Helge Dohrmann",,"Helge Dohrmann","Helge Dohrmann","Helge Dohrmann","Helge Dohrmann","Helge Dohrmann","Helge Dohrmann","Helge Dohrmann","Helge Dohrmann","Helge Dohrmann","Helge Dohrmann",,,"Helge Dohrmann",,"Helge Dohrmann",,,,"Helge Dohrmann",,,male,politician,,,1939-02-22,,Helge,,,,,,"Helge Dohrmann",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dohrmann,,1989-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12316082,"Helle Sjelle",,,"Helle Sjelle","Helle Sjelle",,,,,,,,,,"Helle Sjelle",,"Helle Sjelle",,,,,,,female,,,,1971-03-03,,Helle,,,,,"Helle Sjelle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12316220,"Henning Dyremose",,"Henning Dyremose","Henning Dyremose","Henning Dyremose","Henning Dyremose","Henning Dyremose","Henning Dyremose","Henning Dyremose","Henning Dyremose","Henning Dyremose",,,,"Henning Dyremose",,"Henning Dyremose",,,"Henning Dyremose","Henning Dyremose",,https://upload.wikimedia.org/wikipedia/commons/1/1b/Henning_Dyremose.jpg,male,,,,1945-12-22,,Henning,,,,,"Henning Dyremose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12316226,"Henning Gjellerod",,,"Henning Gjellerod","Henning Gjellerod",,,,,,,,,,"Henning Gjellerod",,"Henning Gjellerod",,,,,,,male,,,,1940-06-24,,Henning,,,,,"Henning Gjellerod",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12316231,"Henning Hyllested",,"Henning Hyllested","Henning Hyllested","Henning Hyllested",,,,,,,"Henning Hyllested",,,"Henning Hyllested",,"Henning Hyllested",,,,"Henning Hyllested",,,male,stevedore,,,1954-02-28,,Henning,,,,,"Henning Hyllested",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12316317,"Henrik Bo Fomsgaard Rasmussen",,,"Henrik Bo Fomsgaard Rasmussen","Henrik Bo Fomsgaard Rasmussen","Henrik Bo Fomsgaard Rasmussen",,,,,,,,,"Henrik Bo Fomsgaard Rasmussen",,"Henrik Bo Fomsgaard Rasmussen",,,,,,,male,,,,1971-09-18,,Henrik,,,,,"Henrik Bo Fomsgaard Rasmussen",,,,,,,,"Henrik Bo Fomsgaard Rasmussen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12316325,"Henrik Brodersen",,"Henrik Brodersen","Henrik Brodersen","Henrik Brodersen","Henrik Brodersen","Henrik Brodersen","Henrik Brodersen","Henrik Brodersen","Henrik Brodersen","Henrik Brodersen","Henrik Brodersen",,,"Henrik Brodersen","Category:Henrik Brodersen","Henrik Brodersen",,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ec/Henrik_Brodersen_(DF)_medlem_i_Nordiska_radets_danska_delegation.jpg,male,politician,,,1964,,Henrik,,,,,"Henrik Brodersen",,"Хенрик Бродерсен",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12316339,"Henrik Dahl",,"Henrik Dahl","Henrik Dahl","Henrik Dahl","Henrik Dahl","Henrik Dahl","Henrik Dahl","Henrik Dahl","Henrik Dahl","Henrik Dahl","Henrik Dahl",,,"Henrik Dahl",,"Henrik Dahl (sociolog)",,,,"Henrik Dahl (sosiolog)",,https://upload.wikimedia.org/wikipedia/commons/9/97/Henrik_Dahl.jpg,male,politician,19978829,1014416787,1960-02-20,,Henrik,http://www.denhenrikdahl.dk/,,,SociologenHD,"Henrik Dahl (sociolog)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n98066624,,,,,,,,,,,,,,,"0000 0000 3280 0126",15117261p,,,,,,,,139937056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12316446,"Henrik Sass Larsen","Henrik Sass Larsen","Henrik Sass Larsen","Henrik Sass Larsen","Henrik Sass Larsen","Henrik Sass Larsen","Henrik Sass Larsen","Henrik Sass Larsen","Henrik Sass Larsen","Henrik Sass Larsen","Henrik Sass Larsen","Henrik Sass Larsen",,,"Henrik Sass Larsen",,"Henrik Sass Larsen","Henrik Sass Larsen","Henrik Sass Larsen","Henrik Sass Larsen","Henrik Sass Larsen","Henrik Sass Larsen","https://upload.wikimedia.org/wikipedia/commons/8/8f/Henrik_Sass_Larsen,_pressefoto.jpg",male,politician,53681244,,1966-05-29,/m/0wq41hy,Henrik,,,http://ekstrabladet.dk/opinionen/henrik-sass-larsen/,SosseSass,"Henrik Sass Larsen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nb2008001781,,,,,,,,,,,,,,,,,,,6810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12316480,"Henrik Vestergaard",,,"Henrik Vestergaard","Henrik Vestergaard",,,,,,,,,,"Henrik Vestergaard",,"Henrik Vestergaard (politiker)",,,,,,,male,,,,1966-02-10,,Henrik,,,,,"Henrik Vestergaard (politiker)",,"Хенрик Вестергаард Нилсен",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12317053,"Holger Graversen",,,"Holger Graversen","Holger Graversen",,,,,,,,,,"Holger Graversen",,"Holger Graversen",,,,,,,male,,,,1936-02-15,,Holger,,,,,"Holger Graversen","Holger Graversen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12317864,"Hüseyin Arac",,,"Hüseyin Arac","Hüseyin Arac",,,,,,,,,,"Hüseyin Arac",,"Hüseyin Arac",,,,,,,male,,,,1956-10-15,,"Hüseyin",,,,,"Hüseyin Arac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12318018,"Ib Poulsen",,,"Ib Poulsen","Ib Poulsen",,,,,,,,,,"Ib Poulsen",,"Ib Poulsen (politiker)",,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f1/Ib_Poulsen_2015.jpg,male,,,,1965-02-02,,,,,,,"Ib Poulsen (Politiker)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12318060,"Ida Jørgensen",,,"Ida Jørgensen","Ida Jørgensen",,,,,,,,,,"Ida Jørgensen",,"Ida Jørgensen",,,,,,,female,,,,1967-08-01,,Ida,,,,,"Ida Jørgensen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
